VideoId,View Count,Average Comment Length,Total Comments
WShY1ObPvhQ,22020512,14.5054545455,1650
aGrTZhgKp4E,3849320,8.81882352941,425
Vs39H9nXeq8,3583913,16.7512588117,1986
mo9Vlt5tGwY,3416194,18.3550834598,1977
lYJTpB628bc,3262137,18.1066666667,450
g7MCKx7YN-w,3214067,40.7897574124,1855
lnHHelsfXYE,2794233,16.6757028112,1992
S6Eu-Uh69BE,2750628,12.5304396843,1774
R5C8LTWifE8,2640387,20.577594123,1089
E9DN1ZhoF9M,2222848,16.5383104126,509
OpzVg5rgrKw,2201228,5.921875,192
z5SiGHNEGIY,2177028,11.3092868988,1206
ddNRTy_bt_o,2048615,17.1294526499,1151
Suugn-p5C1M,2040575,26.9661971831,1065
lmlv32cUCqI,1847843,19.248434238,958
b43lAoovqd8,1843294,17.3486696231,1804
9beQh1yH5uU,1828723,17.2002609263,1533
bQ9i66oTIaQ,1798088,15.5564516129,248
PR-KTKbH-ng,1703233,13.391011236,445
0Kgusd1rN6E,1655658,14.3673469388,1127
iFxww-VeGC4,1607508,21.2445652174,552
4rtoNv5NrcQ,1599490,16.5507692308,975
yIjBNa8e4N0,1478403,22.99003517,1706
HpIAARumr6I,1471180,14.7598220904,1349
uNBPQe4dFxk,1413213,15.1519434629,1981
H02iFmosrH4,1377752,16.0737605804,827
-ffYokJgg5s,1149858,22.1380952381,1470
dBIxYC3Lazs,1147553,10.6680161943,247
geynA-JYDHE,1101699,8.27173913043,92
tQyEIRUyEvQ,1040433,19.5581395349,645
oE8PiGmSC8I,1028148,21.6525423729,590
McHViMSzQdI,902294,15.5867403315,905
pFmgsydpA_U,899292,11.3684210526,38
hjwJl4t-DF8,889727,30.0533333333,300
m3zOClKsSUQ,878615,13.7976190476,168
fSe3R0-r-sA,859578,14.5478767694,1201
14qluabtREc,844678,13.5426497278,1102
eInLIqFwSjU,821027,29.6082370668,1991
UI8LB7UFiFQ,804763,8.95254237288,295
MV1A93yDWxI,796601,14.1730769231,364
xUis9NzfIqc,794044,21.7243460765,497
W9VsGjXkHeg,792752,9.18779342723,213
kd1lhW0UnE8,770264,19.658203125,512
ukGL2K9Me4U,722902,31.7284515637,1311
p1YiSa9FBO4,720266,22.4889867841,454
HVJZ55YpTv0,695755,17.8054711246,329
0babHH0Fnak,685773,18.1944444444,324
1rFvR7Bv9Fk,671458,7.17391304348,23
c0-zFiee4rE,647254,18.7104477612,1005
YEkiYJ9GH2U,641304,15.5769230769,390
bBHkXx2yjtY,640103,14.7634146341,410
k3YnNMt0_c4,621255,20.1538461538,65
QKsTcjAwgao,586493,19.7339449541,109
XOvKmUeLvVY,570292,8.61111111111,18
T6DPtyRIhDg,544405,14.5,20
dMi-gUVf7vA,541974,13.5972222222,216
PPEgCYb9E3c,539153,9.6568627451,102
71FGk10m1h4,529376,16.8282442748,262
PK49QALNj-0,512139,20.094637224,317
BknCdLbENXg,499198,13.9565217391,69
layQ6Y0Df9M,497859,23.544600939,213
q7HD60x_doo,492071,7.5,10
KKsaUmFIgdk,481029,9.58333333333,72
qdWWI6LKqo0,471089,12.8333333333,486
gjVv5h059vc,449961,21.4315789474,95
ol6poJ6M7MA,449145,9.05714285714,35
psfJqCGR0Dc,431138,23.9158415842,202
5SHwjQQKYwI,429998,22.3444976077,418
Nms9o1lVLDM,426577,20.1491935484,248
Bdl-3B3h5Po,425207,18.196,250
UNG9ys_6FRE,413733,13.2549019608,204
UQ_F49ZkP8M,410841,3.58333333333,24
qGFuMrkVzXw,404944,7.4,5
jDf9YEnIUFQ,399563,21.5757575758,429
dZWpfxajhHQ,395167,18.4444444444,270
sr2WPA9sxYk,391751,11.8644067797,236
19687nERXy4,389462,10.7816593886,229
7EZi6G1OqCQ,387841,2.60714285714,84
9uxm11YillA,386266,2.88607594937,79
thi5uiat9ks,377839,8.15789473684,19
TDuJKtUU9NQ,362384,2.12264150943,106
4fpdSGJ5eg4,355599,12.9664179104,268
48jZl3ID9yY,353583,18.8394366197,355
Q14QbLqgyCc,351245,13.4235294118,255
8iQFoRoaKfs,349749,19.0273972603,438
o56q7wuEtfg,348540,11.0256410256,39
o2eUBuoJynk,345358,17.5510204082,294
qRQkSG36VB8,344018,7.84615384615,13
7Bih4kZZ_4k,336762,9.57446808511,47
ZAoT427ft1A,336589,22.1761363636,528
LevK9rLlLMI,333862,13.7619047619,105
QdhZPnpaMgQ,323791,10.1186440678,59
bbVJkEUm5y0,311353,10.8571428571,56
HYGAK1IQaLY,310989,8.05263157895,38
-W9L0ps7ebU,310933,16.5648148148,108
uWG4LcvEZoI,309259,32.3773584906,265
b-p5CX_frTg,304354,19.8063063063,222
eX2IYjgTPew,303605,9.63513513514,148
OYzyr7PQBcM,302484,22.7457627119,59
FNX9hpbj9KU,301128,21.9162790698,430
uI96AKMswLM,300996,20.1075268817,465
w3Lq0toTqts,297507,25.4943181818,176
CJq2uGPwfig,293565,26.0,156
