VideoId,View Count,Average Comment Length,Total Comments
9JhuOicPFZY,38751327,12.2010178117,1965
gWqI0U3pBdA,32942330,8.53511874684,1979
vlIm-riMN6Q,27258589,12.496969697,1980
TqQiwmwXZOA,23291869,9.39343434343,1980
PZR12iqua-I,20867033,9.69678714859,1992
6OkcucXIuVI,20637535,6.08610670893,1893
Ktgsn_G59os,19623052,8.0,3
15S0g8pG6HU,15384367,11.0367573011,1986
vzpD6OogahQ,13952839,8.25681130172,1982
xef0Fzu0W1Y,13613796,8.99339207048,1816
L1QCjPicYaE,9607045,5.09230769231,130
G1rTJoP-BMw,9244043,11.9443037975,1975
O6Bqf23u-40,9165132,8.26824358329,1987
7SDec1UCzJ4,9116859,9.26106639839,1988
3KANI2dpXLw,8676761,8.88620342397,1986
bWoihIiD8CE,7788936,7.31404958678,726
XClUAPwE4Z0,7614153,10.3945646704,1987
9EqDhVmPNFs,7530694,7.4488372093,1720
E_mfUmyyjJQ,6980015,13.0594594595,1850
_8ibV8dVuto,6719632,8.06441558442,1925
D3LHQRTFTj8,6674194,17.798582996,1976
0PdIVGmjOdY,6516401,13.9554140127,1884
4gx3nn6LS6g,6153706,10.1207430341,1938
dYFvrLqyNhY,6019152,9.32724252492,602
5MzRn60irvc,5943969,10.9553978713,1973
3ZzP_69ZTFk,5805897,10.5727181545,1994
aCH4X4GQHu4,5746656,10.0055387714,1986
zEXF8R_k9Ww,5656571,20.3947826087,1725
YSX5KYh-umQ,5504479,8.49164556962,1975
XrQX2Dhrl8I,5300662,12.8830908179,1993
5JdK-TD7V-s,5069760,13.442711135,1859
EtGQgSY9Nn4,5061779,7.59868421053,1976
TYxbGgeeVmI,5010649,12.7766011094,1983
hu28avESP68,4906816,9.7486201706,1993
CBJKgUc9i7I,4861415,12.7904347826,1150
MymMhj3Vgww,4784292,9.1744831064,1983
BCTOho4Suns,4720261,9.95879396985,1990
Wnjb8Hx76u8,4679090,9.84101265823,1975
hMfy9614GX4,4656978,7.47165077772,1993
dHDWo2LNIaM,4603600,7.67510121457,1976
2u7EmsxxLiQ,4575907,14.6450184502,1355
tp9eh0dAcwc,4575260,17.4287863591,1994
pXvfaPPtbpM,4362585,18.6750376695,1991
hWiBt-pqp0E,4345083,27.1752232143,1792
0fr02VqwQOA,4282161,9.41848976711,1417
mFCTJXHrbQg,4264198,12.9041800643,1555
vS6kFvIbGJU,4245589,9.352,1125
XIEHI0vfCBk,3880238,11.1861755802,1982
9szm1bo9G20,3842734,11.8965863454,1992
28-6quBAkYw,3819859,9.00502512563,1990
UW_1CvDFYVg,3747807,18.992992993,1998
w45vth27-Zo,3665484,8.53312302839,317
PGkQkVQt7ak,3645233,7.36074672048,1982
xFfwUWFRwBY,3631142,8.87305569493,1993
MVDOj109F5E,3617980,9.59889280322,1987
Rb_HXgPlgEs,3598535,18.0707070707,1980
Jcd49ZlxXWA,3589282,15.1985779584,1969
