VideoId,View Count,Average Comment Length,Total Comments
0bWJGrG_i8Y,31994460,8.72606774669,679
4wnShj_q4Oc,24073947,7.2927191679,673
pnti7nO6Ioc,16163315,19.4249621021,1979
eMI9_Mj6_84,4641044,12.1488607595,1975
XqMf3towVVI,3890106,28.6921498204,1949
2Bmom1Lw1bE,3289199,21.4166666667,12
LfQ8NXXZk-4,2710554,13.1318847903,1979
g_RM8To5mjU,2216880,9.73771313942,1994
2v3zCcvOb_E,2166024,23.6384567517,1607
Y_V_HmNDBn8,2051789,30.3302752294,1526
qK9m-q1kkO8,1802793,18.9704797048,813
relQU3rHQMY,1527344,12.1111111111,225
1y2SIIeqy34,1484550,23.4686431015,877
uoV2adaRBWU,1458321,11.9741935484,1085
bAp8bSdE5MQ,1340696,32.4868421053,1976
WKUQ41ObTFE,1316277,13.7510040161,1992
db4GpdKbjQc,1259182,20.4582132565,1041
FbW1FWX1zQg,1234913,13.5186567164,268
xRWC4Gen748,1218304,14.0092857143,1400
HBPUrWzvzHI,1054028,18.752293578,109
z_Rvz4eaH0o,1034261,6.83870967742,124
jBsXA4H5Dzw,933204,20.3316540722,1191
gtWmNIFMmE4,926250,12.9847094801,327
XcltEbPjUs0,920782,28.6473214286,224
9_c5K7Jdw9E,852163,28.0454170107,1211
GGbzyzqUTdY,739593,10.1379310345,29
9TJG0qwOuaw,717767,39.1660377358,265
x0WCLKzDFpI,699889,18.6335685484,1984
bXTauo3I7A8,698244,27.9245283019,265
67-8PnUwy-Y,654107,11.1693467337,1990
tXnnNDIzrQI,633444,10.6693548387,124
9hpgQuvL2ms,629610,17.615,1000
OQblGUj2qIc,608337,36.6198156682,434
tc9Bdrhwrlk,595525,34.4945454545,275
lQTWtokeF5Q,577439,13.7816091954,348
qs3RKZjSzYg,568655,57.1687657431,1985
33kRjsKqGWU,567230,21.1583333333,120
A5YCcURhkjE,564276,10.5474860335,179
UtUBwpGZqeI,557369,20.5269461078,167
xTSRbXTh-_A,541051,30.4440433213,1108
NV2uITx6QCs,540078,39.196049744,1367
8KxK4hwQzeY,527574,15.3234421365,337
RPXYrZVvkG8,509074,14.6144200627,638
GqBrVBUGhFQ,496403,37.9708994709,1890
dJg138YlwvA,492798,16.3251533742,163
BOjeZnjKlp0,486350,31.5520885757,1987
PJcCPCdvwtU,486040,7.15873015873,441
UCoZP5Aso5U,479442,20.452685422,391
EN8_ilJ16gg,472487,14.9123867069,331
SACezxfu-xE,471728,25.6495049505,505
AJu42I_6KLU,465327,12.2772277228,101
gkFAQHFWQWw,447347,24.9673590504,674
-H9vmsZFxz4,400290,7.61971830986,71
dXUtHtZTXnI,397019,33.5990888383,1756
XeoBMqS10rI,393762,15.2543103448,232
dpQR6HyI2WA,388197,18.5025553663,587
vfQCE2917NE,379201,23.8157894737,1026
Q09xun6RI3k,377276,37.0029638411,1687
QroxqEJycaw,356698,9.19230769231,26
YAJ8A1IwI4s,355230,30.4213836478,318
hMYXJhvyXQA,354207,18.1,30
kAwnJDWF3Mc,346148,18.8002680965,746
8BPfk-zwk1g,344567,18.8406374502,251
bB1QsyPRuM4,343042,15.6153846154,13
02FsSd2hgfY,342723,13.7589285714,224
CNwH8rmc1f8,336396,24.1515151515,99
wrVttHNvZVI,322408,31.4586225307,1873
ugorKMtciW4,319937,27.1166666667,60
yNqxd9vwhPI,299970,17.1776027997,1143
BE5M8743a1s,298914,36.5724907063,1076
AEINuCL-5wc,291972,24.9704433498,203
mNaKoSvFfic,288555,6.28571428571,7
wZ67uSPmaC0,283427,12.6814814815,135
HGeBENpAH8s,280589,14.1714836224,519
W0HncGNBCqY,273920,20.0870917574,643
sH6oe5AR_OM,273483,52.1427280939,1107
FLsTejUg6nM,271060,14.7268518519,216
0LZhUvqc5zk,270916,17.0473684211,190
l_wQZEi2fDw,269493,11.4117647059,68
GdQDSRcGhPs,268962,10.9950248756,201
o3_T7x9j39c,266835,9.66666666667,24
kntv67o35l8,262687,22.75,4
jjDkQI2OO-w,257398,17.512345679,324
D7boA39SuVs,253045,9.59670781893,1701
2fyVOVsBJUY,251646,27.8292682927,82
qiP79vYsfbo,249896,30.4692082111,341
TYHp9JvDHB4,242287,22.504587156,109
uYsw3WcnoDw,241825,18.8484848485,99
J8Ey_tAqAwQ,241158,13.3672496025,629
oZnR633lIJU,240866,17.0,1
VU2U0o1cRyo,239907,14.4318181818,44
VOZcNW7vOcM,222722,17.6489361702,94
qGWWarqyp8I,221898,29.4932432432,1332
asTG6MC2OSU,219592,17.7133333333,150
q7yTUpwlCZY,218267,44.8343023256,1720
pGlmidTTIKg,217205,35.0317258883,788
eN_Su8ywLwk,214468,45.2365714286,875
vjYbHp2OxgY,214269,15.9772727273,44
ameALecqG6U,212313,6.16666666667,6
xv_EyB_7f8w,208272,7.3819218241,1228
QSGezUN8QyY,208215,16.033557047,745
6-5xg_wQOKU,206008,18.2424242424,66
t3eJYW2sAAI,203153,25.09375,32
9D8AeiAamjY,201576,37.1991657977,1918
cH-2fKn0j5A,193142,18.3820224719,89
RZMEGqdgGRs,192860,18.2285714286,105
F3NV5CRD1m0,192856,11.9561403509,114
UuFUxP_vsak,191158,16.2886178862,492
SRxhN9AmTFc,191146,7.64516129032,62
g1hVLQGcINw,191060,14.4166666667,72
MVAcF5p1Euo,189111,20.1143001007,1986
6eOrzCXytB4,187778,8.07692307692,13
HQ0WinCWtLs,186249,45.4504383007,1483
Hi_3HymnpXE,185846,17.5797101449,207
Fhk5lDGpivo,181524,12.6720430108,186
tOGP_Qft0MA,176446,16.1900826446,121
6jtG-_M1YIE,174557,18.2209302326,172
P_7Rf2wqPy8,173993,16.5238095238,105
QBziKEvuwvw,167720,3.0,1
bqgj69nfpz8,165746,18.5671641791,67
7wQbGDmaKZc,162935,29.6134185304,313
gpU92jug1io,159516,10.7631578947,228
vDcvXxXLoAY,156779,14.3333333333,18
Xl6MuZF_Pi0,150929,24.3650793651,126
dYphna9UTCk,146213,48.6152330926,1523
-L-Z7bhCaOg,144753,10.2093933464,511
-fya2hBUKWI,142275,36.1413043478,184
F9-wgwtCcnQ,142120,29.6386806597,667
OXeVI2jzSbE,137173,24.6268656716,67
Ok5Ly2WOdDQ,128277,51.1329815303,1895
QKUbQ_kt354,125617,8.69863013699,73
TrFfM4TOcQs,122488,4.66666666667,3
91PHW2Oi5Pc,122018,14.703196347,438
SbFY02YzU1s,120872,12.5845410628,207
FYwEy6y0bkc,119910,48.1034830893,1981
aCXrXKllzSI,119472,14.2222222222,18
ecXYTGox7HY,118251,60.1001082251,1848
dfxQCw-y3bM,117674,11.6923076923,13
9kW1m2LwS84,117230,17.9242902208,317
tltSKwNUjYc,116290,11.4871794872,39
fw3do0TLv6o,113730,48.905,200
pIWVKqta6jc,112959,28.2215909091,176
WmeJ37w2M2o,108643,16.085106383,47
QFqA-HxdW3k,107118,13.59375,96
r2fO9QM7Ms4,106725,14.0952380952,147
OIqe5DDtj7s,105993,7.4,5
_4-TYwFS-P0,105799,51.035,200
TcbMA_X4Nk0,105751,17.2790697674,43
aCpiE7WpVVk,104250,38.1502659574,752
q8dEglwTfSY,102727,18.9166666667,120
4OBrkBq5yN0,102235,23.5897435897,39
JEWpjkhPo4g,102084,14.3157894737,19
L72h2R4FO0k,100960,40.4658976931,1994
VdheWK7u11w,100631,28.9316239316,117
ehcb2reP1X8,100067,53.3555555556,1260
e52rlpZUX3o,96245,34.3114754098,122
KgNwDQtDC7Q,96141,16.1583087512,1017
dNKg54bvObQ,94621,23.5257731959,97
MZ1HNAM0uD8,93684,15.0540540541,37
DtCGCsohXcI,93011,18.4916666667,240
LlqqpT-5SFo,92768,7.625,8
qI-RTmfDy4g,91631,22.2826086957,46
CUgX7VcYfjk,90858,14.2,15
jYN1-efwxm4,88902,9.75824175824,91
C8WF6H6rzAM,88615,22.7125,80
duEZokeiHWk,87194,18.703125,128
q15SidjjS-I,85992,33.7921760391,409
e370CyqvUvI,84718,33.9534883721,172
kgKr1FEeoOY,83996,11.9016393443,61
adNlzMNVfA4,82855,17.5833333333,12
38yxPdfvtw0,80290,32.4444444444,27
b5-7Ra8UUkA,77822,6.16666666667,6
RPr9vbRvg9U,77379,17.5952380952,42
7qIdg51woug,77315,44.2440087146,459
WwFu_RUj3VA,77098,16.4886363636,88
4eJMWxxV8bE,76711,26.0294117647,34
hAD2fae2oeM,75687,11.8859649123,228
angbZB2WeMQ,75442,51.8272340426,1175
-t7Z17Tl-iM,75160,14.1151315789,304
h3z74eo3lkQ,74913,27.9689440994,161
LsViUCygQ3A,74760,19.614379085,153
AXv9kfkZoWc,74591,14.537037037,54
8CiP2K9QBgU,73530,19.0625,16
ly4flM_I7VI,72112,52.6082036775,707
IVW2O9BqV_s,71498,38.7275949367,1975
-0ivvHwWu9Y,70918,15.4,20
l36c2mfYKUA,70783,11.3846153846,13
d3UPmaPd2_o,70265,12.4536082474,97
G1-VTxsNNVM,69933,43.1081081081,148
HWOKJEmgcFs,69194,32.7136363636,220
5-j_WRUDaw4,68943,40.5006747638,741
BtQOXHmXyHk,68712,12.484375,64
WmeZYGc3N4M,67585,28.0555555556,36
2ZFCEoMzy_w,66757,19.606557377,61
ZvrldiFMeI8,66556,30.200729927,274
UdzFpYp_u0E,66314,4.82,150
BQWuzmGp5ew,63926,7.57142857143,7
u61SQ415Xxo,63061,16.8217054264,129
fhnNElaWEiE,62943,32.1956521739,46
yB6xsojeTzw,62892,27.96,50
bEQ40Lz-Y8U,61954,20.4871794872,39
GxyEhq0R8lk,61809,20.975,40
1THUuvPi6LE,61590,41.7942857143,175
mrU8v1J0BTA,60390,21.7796610169,59
-mq5_hLU17c,60199,16.0732984293,382
-I8AxOwcXLI,60056,31.1287128713,101
lSdlHXP0eww,58588,15.6428571429,98
XCbtjCFIo9I,58453,34.8604651163,43
MdFOI9eVq4w,57757,36.625,32
Oj7bxbwCtOU,57178,54.1325503356,1788
Bk0C4Gc_Zo0,57149,38.5096774194,775
a_78hgi3Hoo,57012,18.1315789474,304
P042ShLphW8,56831,36.0555555556,126
WWJ9uTEBZ9U,56404,19.5,46
bW1ymThCgTI,55984,29.3333333333,48
XN0QUGiOFVs,55741,23.8017967434,1781
DULV0aXqJtE,55096,24.25,4
4PgOa5FFA5U,54832,11.8085106383,47
ZfX4c3jQj5I,54629,36.7178924259,911
Ml8M1qpaM9E,53626,22.6346153846,52
xRYKs65PwYY,52783,26.3292682927,82
ew-WMZR1m0M,52380,16.28,75
Ho2NdnyW1Ps,51031,52.8534482759,348
-EqVfmZR-Mw,50956,12.0769230769,26
a0-k1zo2n98,50702,45.9324155194,799
xGnj6ZzjL3Y,50344,19.5769230769,52
FrP3gltNXX8,49797,55.9657534247,584
cumLnXSt1gk,49515,35.4285714286,7
9AsSHfNBIA8,48973,46.8646616541,133
rU4nWdb3Bo0,48773,15.03125,32
7noveGb52n0,48540,15.1466666667,150
Ap1Kpc90fiw,48467,19.6404494382,89
yOh_4hG8gJw,48342,17.6363636364,11
TQenjkNmYfU,48274,21.6923076923,39
hdpvIp0MDRA,47987,25.1103448276,145
0Xfm3o45iIE,47852,21.8837209302,86
SI7ZIxx3qzs,47498,8.67804878049,205
2yJ8dLR-OXY,46710,10.2,15
aXU6LVwlOtg,46708,25.8958333333,48
dKUw8C6LaFQ,46642,18.1428571429,14
9cwBS7r_yw8,46279,38.3904761905,735
dgQ5_SwwWts,44695,21.44,150
wW4jZhHtJDQ,44219,14.5208333333,48
Q41n6WSjINw,44163,19.1913043478,115
heWKcA_9G6c,43904,6.5,6
ewXBfmQNHTw,43814,21.7692307692,13
ZS8YWN7Re0Y,43513,26.25,4
lycQ2CUpw2U,42682,24.7333333333,30
wUM2hpJQ9aU,42638,34.2857142857,70
H2jJjpk_-bc,42429,40.875,48
er3uqj9-lqg,42004,10.391025641,156
uZs6MpIUhAQ,41751,42.8503184713,314
ikTU-NEqplI,41721,43.6666666667,219
uOUQcWPvQLg,41522,16.7142857143,28
cIwDjZLBMXU,41306,41.0720461095,347
xwK4FMifYig,41233,17.765625,64
1_YVcBthARw,40945,21.2181818182,55
bM8aEHfhAx4,40807,13.0833333333,36
1truPTM5_BY,40777,16.6477272727,176
dz7S7Cy-oLE,40600,32.4242424242,33
7PUAHNvhmKs,40226,11.3125,32
BsI5ZYyn7Qs,40075,13.2448979592,98
t4q0geH63vQ,39240,50.9113924051,79
4qWDdkcKdtQ,39212,16.7066666667,600
PVIbUr4xZ34,39194,45.2824074074,216
q1poj_Kmwao,39128,10.3529411765,17
8ARFSacT5pY,38917,9.40322580645,124
-eietCf5nNI,38387,24.1111111111,18
ujjapcOQU3M,37955,13.9137931034,58
FwbD7-6ECAo,36863,10.2848101266,316
zBriOLFr23M,36524,26.2857142857,42
hAJFwj-m6Ms,36201,25.25,24
L4edqnjxPGU,35894,19.9090909091,11
ZIP0uHnMRSg,35851,36.9561200924,433
cHekG6wruyY,35500,4.0,2
0vdsGw8_XmY,35229,6.0,1
F4jq_sucA34,34956,42.7768240343,233
w9zUGuqxAPk,34724,4.66666666667,3
KD1dhGTB5fk,34596,21.9375,32
hQFapsCZd-8,34538,10.1551155116,303
yqgNCIpp7qY,34175,16.7291666667,144
mUoYUhsZpps,34063,2.0,1
VqmsTR6e6_8,34024,24.110787172,686
ryW-OmeCn_s,33406,21.7205882353,68
WF6ispJNocU,33388,19.0666666667,15
Om_K4Vl4Jio,33331,40.4172661871,139
NcSGoOpCpoM,32833,27.0638297872,47
K4qfH8tf4cQ,32772,36.4912280702,57
0dy3cljMBnw,32718,7.0,12
lG6gvdACDzo,32508,23.7083333333,24
uvdmrNDLEMk,32495,15.7926829268,82
GLOhLqUNMJQ,32325,10.9111111111,45
-i8vsMPFm78,32231,30.5555555556,27
bYda8Xf52bY,32133,30.0810810811,37
CDB9SUC1NC4,31891,9.0,10
GughDpxMW78,31294,26.5,24
tacBRY2x8Ow,31133,5.0,5
Kq63d6tZQNQ,31054,20.9230769231,104
Sn2wbS1ULDk,30810,13.9411764706,34
Yq6iIkUdf88,30752,16.5384615385,65
CjmbbWE5IOw,30400,36.0147058824,204
c07Di2BkItE,30302,23.6040609137,197
RgQh4BEdOgY,30046,14.4318181818,88
qLFRLki3xto,29921,15.8571428571,28
Weca0zteb3k,29797,31.125,8
OU3ZfUSL4TY,29735,8.69047619048,42
S9Er5uUGoMs,29267,47.3675675676,185
pmXghaxTfTo,28981,32.796460177,113
6A5Vd-m0oZI,28926,4.22950819672,61
VIoHWaJJzio,28824,17.3783783784,148
LY-1u9jyf90,28741,31.1796116505,412
G3gKkYybUsA,28396,8.125,8
W3GoB7nnc-I,28385,13.3090909091,55
g1dNYbLjYtY,28241,11.2556053812,223
S_v62RcrpfQ,27779,5.0,1
0YXwoL9JyWg,27652,32.9854166667,480
YwnfHQTRyOU,27588,7.54545454545,11
KRmSl9ZomJ8,27578,51.5625,32
jz4XTlmelyw,27514,9.24,25
TQk75pjDOtc,27192,25.3529411765,17
Sax2njDDLIE,26946,48.5081967213,61
Ua32mUPJfaU,26838,27.0131578947,76
JhNcHPJ1IEc,26663,15.6,25
oRN3g2UP4R8,26434,6.3,20
KqNEvgT71l8,25767,23.8333333333,12
VIKXJjZubGU,25634,43.2740899358,467
69-WzIIsGyQ,25489,10.3698630137,73
k6x35gmDSgg,25482,54.8424507659,457
Jta6_D9W4KM,25425,19.5,2
6EiAxT3ikuU,25335,40.2391304348,46
Oh8f8ImRpFA,25256,10.0,18
irHkXxNJR58,25213,28.2861445783,332
tAdM1AOKfbE,25209,38.3948339483,271
QUGTereCR1w,25039,23.1218390805,435
g5KrLA7-0gI,25000,18.8378378378,37
0mhq4Ur9vUg,24933,58.7664233577,137
f-bB0yCO-E0,24886,41.4074074074,270
sMIo8Tjdsrk,24780,17.8411214953,107
D8B61nyectk,24767,18.0253456221,434
3w0pqCq9XQA,24694,12.2857142857,7
SHnTshSsK0k,24690,20.1505376344,93
NyHuOZY7GVs,24568,14.73046875,256
pEhERZ8BbyE,24560,31.3333333333,42
1ZrC87LqpGY,24504,30.9924242424,396
nprsTY3eOCU,24452,14.5,16
ah9WImdp9wc,24407,41.9621212121,264
wWwMKzA7ock,24293,11.0652173913,46
O-bRE1NZ0vg,24057,12.44,50
GaiMfg9NXjs,23962,12.6153846154,13
NywHAIQevDw,23936,6.0,5
g2dLTXSnNt8,23829,13.52,25
JDjT2braZ3I,23776,41.4487179487,234
24tg1rLDZmE,23597,28.3452380952,168
6W-i5m2k65E,23557,13.2307692308,13
zMEAq-wlu9A,23253,2.0,1
-Kn4AKPUThE,23232,11.0111111111,90
uXCaikFzcds,23011,13.2535211268,71
ZxQL8kGllfI,23011,6.5,2
XJcT1n77pkU,22890,12.6868421053,380
U8yGahPGQls,22699,55.9032258065,62
bDnSz7QqBI0,22575,27.4768683274,562
kqmETnS6sEA,22542,20.1125,160
-kFivk4iMjw,22524,8.5,2
U7ayJABEax0,22522,42.8012232416,654
oH9CrvOzfDk,22517,8.67441860465,43
Hck3t8hqdsU,22293,34.7,30
y99qrVTyZZk,22009,27.1818181818,22
1p2WxlJSOec,21895,8.9,30
G4qRFwAmp5Q,21804,27.8064516129,31
VZ-3JQGwps4,21696,18.4895104895,143
qWJsyk_VQbY,21509,5.5,2
wbzMDHiIMf0,21502,14.0,10
BreLMP6-eeQ,21499,13.0784313725,102
BXXqCOKMQcY,21395,16.6923076923,13
CgvyEHfhjfM,21263,12.6666666667,9
V6HHyqoD-Hs,20858,31.9189189189,37
GK54CUfBY9Q,20719,22.9754901961,204
uGxGsb5tG-4,20490,30.5,6
AbSxLAYE648,20367,14.1875,16
S6wlar5k-lU,20176,14.0434782609,23
vQOQuBU6jGk,20150,10.1707317073,82
9u_ZcN7shcg,19938,41.3385093168,322
oA5h5wBkEas,19934,1.66666666667,6
DVwB3p1kODo,19852,31.7894736842,19
zq-WF5XKgOw,19743,6.59375,32
DkCIFy4OWno,19600,10.0,10
ftcKKiyNNuU,19382,15.2173913043,23
dj7lmsVXXoQ,19279,33.1764705882,17
aRnGSM_qFlw,19130,7.98947368421,95
Wbl9SjmOPiw,19064,7.0,3
pssCthEhiTM,19027,2.33333333333,3
liYnUK53940,18541,37.8064516129,31
Qq60YCzM1mo,18455,18.0,3
EoU9Sohvgqw,18437,27.5454545455,22
UuaNpF4hCJU,18263,8.16666666667,6
9ZV4agM578M,18179,33.6428571429,14
HNR8XKIVGnk,18171,25.5737704918,61
ZxMq1YAa4qE,18007,38.5,18
louAYkJPETQ,17925,23.6153846154,13
IVOlS7tIIrQ,17853,40.2,10
KDfdfmuog44,17610,33.6477272727,88
fnAbEmwT6Fk,17565,20.3333333333,114
QWqQPsvijpk,17463,16.3432835821,67
t7fiM1LqNL0,17391,36.3566878981,157
rflWOv0XKNU,17385,10.2222222222,9
paO7allsgmw,17053,31.724137931,58
pzUgxr-Imgk,17035,13.1764705882,68
lQzlKN9Lb5Q,16963,12.4444444444,9
ML8lUHPU4Xw,16933,27.8644067797,59
GE-UgngL8QM,16903,7.3125,16
YUN8qRSedgg,16775,17.1666666667,24
EdGyTWo5s5I,16722,11.3684210526,19
XQKjR1FLsaw,16643,10.78,100
Q5DtZarAHmU,16562,22.5434782609,46
d-FakxWaEzA,16439,33.7317073171,41
DFMOa_Is16s,16426,16.2906666667,375
wA06PHmBEd0,16420,35.9866666667,75
GGhCWh4Gbso,16341,58.8358208955,134
pe-8Yt5prdE,16323,7.89655172414,29
V2FxZfPRrAU,16311,33.4214876033,121
B7dK-UYjOAs,16310,26.2372881356,177
RFwH9AZkwlc,16130,48.1428571429,385
Aswmw306h78,15931,13.4193548387,31
8b8y01chxc8,15289,20.088,125
kJ6-sEDBY1I,15249,49.4212598425,254
bQRp-DCIdIw,15230,25.1666666667,6
1DZLOPnkrJo,15112,18.5,2
7t0ibhprIMo,15059,4.41176470588,17
t23v9gXQBiQ,14935,14.4285714286,7
m384aPhia7k,14864,25.5748792271,207
ucaZM0-5IN0,14859,30.875,48
NJHPPGAU9ZI,14756,18.3,10
qLgyXESGdb8,14751,19.5,208
yeQuNDCySnc,14526,6.49074074074,108
MKrgBMrfszM,14409,9.5393258427,89
yDjPt2YOAs0,14352,14.6363636364,44
mVUtgecWtL0,14224,7.0,1
0Bm9lhYl_Po,14181,35.5,6
beENCbRG8LY,14153,26.1666666667,6
outgtiV-mgc,14095,48.3262411348,141
2iUrddu2JYw,14045,11.0,7
MXFyyGD_dUg,13646,9.71428571429,7
qIOgIjSqY00,13604,27.8756476684,193
BsrtzlUmuT0,13581,11.625,8
7TGTt24KDtE,13284,35.8387096774,31
ADtnuN71LPw,13194,6.82352941176,17
VpuNG3G25aI,13101,5.15014164306,353
rfhJs-s7yUQ,13018,13.48,50
u06cJzIFXW4,12935,15.7567567568,37
UtjBvJxhtv4,12859,30.8222222222,45
xWJaa3q3bOA,12605,10.1212121212,66
fGKQsqXHsyo,12588,31.7727272727,22
6pYB09Vc-gQ,12540,7.5,2
6AGywDUNYBc,12398,19.2380952381,21
Be54w7rtytY,12394,14.0,2
DBGEW0WuChk,12330,37.1542857143,175
ZlfxERBzwa4,12189,17.2,5
GGFk-U4GaHI,12014,27.1818181818,22
aBahHCzh6m0,11747,23.5744680851,47
mp0PceaWawc,11689,23.4128440367,218
gatO166tnNw,11624,14.0,5
rqA8y0luIGA,11496,17.4347826087,46
Qh-pEbxFVjE,11478,23.1307189542,153
bykL9CaAvuU,11460,15.5157894737,95
oZeaSjTYhss,11411,13.7222222222,18
fDHK8LsttVo,11386,54.9024390244,82
wT3V1_jLV0c,11374,32.348534202,307
1ShkOCA_9Lw,11283,36.1818181818,110
QqKGo6ZSj2s,11256,27.9,10
J24Dj_o9Rn0,11176,13.5,2
bC3wGIIRJ74,10968,28.325,40
7dl0oEc84Sg,10932,8.65517241379,58
-OqrMqPn71Y,10903,36.3571428571,14
kNuTQ71_kU8,10801,1.0,1
VzeGzV8NGzI,10799,9.33333333333,9
TZFmhPRBySY,10792,6.09090909091,22
ZXUdDmwaXT8,10787,17.6666666667,21
67lAy9Q9YnU,10783,8.14285714286,7
9ZY5m8fl_N0,10728,11.5333333333,30
-XTjCBnkObE,10671,13.375,8
c9aiKfQIYL8,10384,39.125,88
hlw92gUcDzo,10328,34.25,8
ExEKAxp9mWI,10325,13.4285714286,7
A4rsNaTepx0,10241,15.0882352941,34
cdee1XF5Qyo,10211,13.537037037,54
f6TD-tDDuBo,10201,44.4210526316,38
sER40J5i7Vw,10161,47.0512820513,39
gulO6zWu_qk,10114,13.0,2
ANpMceb792c,9944,34.5,2
0weyn_5UBpg,9831,27.0,3
9LNK2hh2ofE,9689,13.7597173145,283
S1TEtDvX_aU,9684,24.2666666667,15
waQjJ4UKkZE,9645,8.66666666667,3
Q5CL6UkgfgE,9643,15.2272727273,22
e_--kL1K3Sg,9600,8.55813953488,43
M-fRZlA2afE,9506,22.8571428571,7
lZ5aKzgynVw,9428,30.4,15
xVzve97shIU,9413,20.3888888889,18
86CWa-dFf3U,9373,8.81944444444,72
qc0sTncVXnk,9343,5.5,8
2Hrk1pIsKJo,9289,14.2272727273,22
c3GNiGs2Rc0,9259,13.3333333333,6
