VideoId,View Count,Average Comment Length,Total Comments
lWyO7uJdGQA,77711491,8.8824120603,1990
uFQUQkeJjo4,25837926,8.33164300203,1972
w2xUzv6iZWo,25371166,13.219895288,382
Z-_gXKKD5Kw,24116414,16.3606557377,793
oOdE6ohps_g,17954251,9.19838465422,1981
FQt-h753jHI,15423376,9.90483383686,1986
yH8b5ruc_-E,14875468,9.6629667003,1982
UaU5JLMvqU0,14624683,11.6021505376,558
agPMMLqkXGg,12371208,12.7724137931,290
l69Vi5IDc0g,11057923,7.5076142132,1970
NoXLu9Rz70g,10575597,10.1030337722,1747
saTBKyh41-g,10089772,7.59863945578,147
8O8rWViCixQ,9943969,10.8169734151,1956
9-4IFUak_U0,9839117,9.77626262626,1980
Vc8tPTVBRSc,9725822,8.30722891566,1992
o5JAPkvnyso,9151875,10.7973790323,1984
gUtj4dL38r4,8688040,13.874749499,1996
r1wyQWUSBbM,8216042,17.5647416413,1645
zbr1EiIC2Ro,8179587,11.6259426848,1989
-is63goeBgc,7402186,12.7431886983,1982
1JAcdbKFygg,7353604,7.47981836529,1982
R98qC0fd_1w,7231739,24.0901265823,1975
ofnD1sQ2A8A,7159671,12.1430020284,1972
XEw290qJpGk,7124646,10.5779352227,1976
dYuc5zDDl8E,6665478,19.467816092,870
t-FzgM0XqPI,6621484,9.95546558704,1976
fSEWaziqxcI,6542033,19.7087525151,1988
Lyg7IJ-_0F4,6490645,12.4458169568,1781
dH8kxDPl6tc,6385543,19.2352644836,1985
kAhMJHat0cI,6286364,11.3008581524,1981
8ZDgjjDnWLM,6153447,7.7417721519,1975
B4kzceTpmAY,6061425,12.6081871345,1368
hyqnJLFiriE,5902897,10.7586206897,725
d2sun973nfY,5868173,14.1734074823,1978
3UMmZalrS9c,5784004,10.0307614725,1983
ooTD1Qf1wsQ,5674944,9.96290726817,1995
1tqlCUvl1JM,5615903,9.96838936277,1993
SGPoML0-uws,5046018,14.5514403292,243
qbkvgWGqHKw,4834124,11.3684210526,1976
q9KXJMaYN0A,4783257,19.0333889816,599
3Qx4Ag2E_E8,4759709,8.61021233569,1978
65w1uCTDRuI,4697230,9.12556962025,1975
kz8of2T6R8s,4694460,14.1066140178,1013
ZGlVzAHpDz4,4616026,9.66281986954,1993
FwB6Hz_bWDM,4507487,21.4437735849,1325
9o2yGgIeDgA,4476865,13.4728434505,313
JixbzFjv_cU,4394808,30.0794057377,1952
6MvVKPlxz4M,4282176,14.1161790017,1162
9dfWzp7rYR4,4267608,10.4122674711,1989
5TUdyv_0nFo,4236908,13.5959493671,1975
4vN1E-S1sS8,4233107,16.4633027523,218
eoLuGWTC2yc,4206008,12.5625316456,1975
yGMKgLRU-3c,4172221,16.9513296538,1993
z2nRxKC-OyA,4163060,13.5507832239,1979
3r4TnAJk81U,4138908,8.43137254902,51
8HhOPsYWUtw,4124296,18.7810218978,274
C7Qb1Zki7bA,4104801,10.8423967774,1986
XwbTEOd-Nb0,4068111,11.3249329759,1865
llLN8rrvT8M,4045666,8.26084710744,1936
wVkQtbWbYjM,4002303,17.3287740628,1974
Fe-MstbSE0M,3993167,12.9573507275,1993
pJNmKn8f15E,3957155,15.1625766871,1956
9XXhzEPzsR0,3840331,20.1245421245,273
BUfbLtZHrog,3806267,19.7652958877,1994
rGtIppH-KSg,3796269,13.8040506329,1975
Gi--nBEUHqs,3793291,14.1956631367,1983
e-ZqcW-xu5c,3733101,13.604826546,1989
YiDZQ5zQpn0,3676175,12.0356312936,1291
j104ciE-2CE,3657944,14.9155518395,1196
e66Og0lOCcE,3648856,20.2737603306,1936
Yq9slakzti0,3569242,12.2040697674,1720
1-SY8tQCHeE,3507366,13.5190954774,1990
XfC69UMQLeQ,3453497,10.028340081,1976
5gVYfDCgYxk,3408745,20.5316455696,1659
O6zj6JVj1pc,3394091,9.43684210526,950
QY7XJjmjrKQ,3372245,7.37621359223,412
3T_RdUPNg6k,3350988,17.6872469636,1976
36uhhUIit7o,3304055,11.5740343348,1864
_5Mon_lpfYU,3292660,15.1847591661,1391
pB8XedMowDU,3288997,6.90844714213,1977
Rp198k984Yw,3166240,17.2600401606,1992
4_nTlsTK7qo,3119850,10.4594894562,1802
hJB-_N4Q2Hs,3080918,10.5480225989,354
e8VECi4L6GI,3062871,7.86472945892,1996
m7afHbq102I,3056793,13.7896919431,1688
h5Giizci_y0,2958702,11.3347205707,1682
cLzsDkGaPcw,2916303,6.22222222222,18
