VideoId,View Count,Average Comment Length,Total Comments
w0ffwDYo00Q,52957116,8.17555555556,1350
4rb8aOzy9t4,39430487,8.30512820513,1950
dInYRH8FpUk,29671443,8.7935819601,1153
aLZd2iBQYPY,28947931,7.77359437751,1992
6rPjzJUG1l0,26363425,30.04,300
fa1B5_w0xoM,12176342,10.1312217195,1989
w6XGUhzfutc,11766351,12.1059300558,1973
8K_NQe57C-k,11709812,10.583081571,1986
5uMlNKozweg,10318144,14.1734197731,1851
gDVlQPpVUA8,9162324,15.8233805668,1976
m-r4B0Fa_-s,8435959,11.0416898277,1799
DkNWF_75dWM,7956310,11.36629667,1982
e-yldqNkGfo,7652291,10.0497237569,1991
zl6hNj1uOkY,5938303,18.5282258065,1984
TldJfxQY3To,5541532,10.8794466403,1012
sSYftLYJZd0,5348792,6.50831234257,1985
E7a5LcTckfg,5214073,19.543435663,1531
kKGehSw5ht8,4951402,18.1406593407,1820
awvelgJcAqo,4897994,15.2967032967,91
lT5EcxwtJBk,4317397,18.8423446185,1979
xJkaKAIl_Fc,4214434,9.41813602015,1985
FKCMLhu2JxE,4183881,10.9132653061,196
1gvGDsIYrrQ,3631109,10.4896202532,1975
y14g50q4hQ0,3327769,11.5477996965,1977
ZbHFgUP0lhg,3268124,7.30838774485,1991
FR6Iq185ao4,3169929,10.7602523659,1585
eStR9o4pBQc,2846753,10.0719754977,653
B5vhc1_UhbY,2790983,2.28,25
2BgyhHBoz50,2734414,28.1522945033,1983
VPg3WCPixKU,2565476,14.4058919804,611
ugHhxZ_FlpM,2505067,16.6406926407,231
mh-MH98dLmM,2476257,12.9338129496,695
MH_6M1r2Trk,2472115,7.49899799599,1996
cHVyJU9izMk,2371843,7.1441307578,1346
4PK7RSEzP9Q,2370091,12.8470899471,1890
gfb1L5YDLxU,2342970,8.64166666667,1200
sewHz4kXE9c,2236775,8.03660982949,1994
6k8qTmrDbYg,2226421,9.35480624056,1987
flPRSULLqOE,2106735,16.7860962567,561
d6rFL4ARQmo,2096828,8.15909090909,396
vUWqRhReaZk,2080606,10.8140120968,1984
FO25p4JdB1U,2072857,12.4094129555,1976
8QdvPVjGH4E,2058160,10.8556962025,1975
nmDf6SnTVxg,2025916,11.459049545,1978
MMC5qVn-1do,1998403,8.27341772152,1975
sqggDDXUwC4,1985781,14.0394736842,532
-kfr3602ANI,1920837,10.0587939698,1990
g4fu5HNM3qU,1844861,13.0761263594,1931
mEoT0sevX3A,1804775,14.65,20
v82JqQAQqLE,1779243,11.3283100108,929
MiQE_Lb801U,1771057,17.4784569138,1996
c2qk6G3lzsI,1770271,30.5711392405,1975
pe9pj6DtBtI,1743949,8.40740740741,54
oUZlOZZYysk,1708768,11.1470588235,34
XroGiiQkqP8,1700238,8.23223223223,1998
OF-eQlukySQ,1631552,11.9505649718,708
H8hWQ_j4_EE,1622493,13.7791164659,1992
LhjWMslpP2M,1601272,10.1149425287,174
HGvL3jbHGm4,1538939,6.3125,432
LMgWIhmRFmY,1487379,10.5670731707,328
eKDcl0V6o6k,1477986,14.82,1150
-UjMseHVZDg,1453020,5.71217712177,271
IYAeYj8-G4w,1451374,23.397029703,1010
8KTHAy9L24g,1449966,14.0567066521,1834
Ugq6frGlKVQ,1446039,38.5366666667,1800
r42lKZtECyY,1386757,13.8276923077,1625
7NNZ5Jo51Y8,1374108,8.66371220021,1918
n4zRe_wvJw8,1308410,13.9842632332,1398
90-J6h03h9k,1306265,7.72363636364,550
b0EO-7W2IwQ,1301819,9.43661971831,71
BHMCva-I7dk,1272348,11.8911564626,294
OYk7yWpYe1E,1263103,11.0932159503,1931
DfkgmEs_Kwg,1233365,7.31468531469,143
BQFU5vhAxpg,1232826,25.6073298429,191
CDzGgaugb2s,1231670,16.4973544974,189
ykHalF0Lb7s,1227128,14.1685393258,89
J4q46e6cl7w,1214896,8.50510204082,392
OrnzYF0SMvM,1207819,9.23034482759,725
6_ag28L4cuA,1179083,14.1986062718,287
Pwgh2UPTgnw,1166329,10.9547169811,265
MdUBibLrhUc,1160004,6.28865979381,97
Lb1DgiJdEBI,1157903,10.8673469388,1470
iLqZmt5o7eo,1150163,9.96158612144,807
UYuEJLOlLgI,1132958,9.8018018018,111
BoyhDsHogc0,1126194,8.2042042042,666
2Hdlgmq_coQ,1122125,12.6430379747,1975
XudB2G8F-hQ,1098691,12.4261363636,176
9iZIDRN7GW4,1089501,20.9444444444,1350
sn7AQf9JqH0,1065686,12.2840375587,852
zKoXG0RjC7E,1036052,15.7625169147,1478
fPNeKpbWUNk,1013677,21.0463847203,733
19pga51OWTs,1010794,10.7416666667,120
g0P5FzSe3qw,1002909,14.8637387387,888
4ObPncW165A,1000626,11.1449275362,207
Z54eG9o37R0,991702,15.8648512355,1983
8oqwFNKN8MA,986832,17.9263741805,1983
gG5JS5BjxZE,977990,2.62359550562,356
Kr8LSG7YFV8,976781,20.8623853211,981
JM1dvSQK6q8,976252,39.2573134328,1675
jgiHtpPN0NA,948621,18.0885608856,271
WcPU-_gUS24,935205,11.9673202614,459
kX6giweMkTs,934558,11.5235602094,382
gNh6qpsuo58,922840,21.6263636364,1100
L4TYDKUyO38,921914,9.4568,1250
CLa2721LwQ0,915027,9.97121212121,1980
TEJenuU1QKE,889374,12.6213017751,676
ZO2HXWZvTUs,886725,23.9043478261,230
UYsZ5vOkPnU,867387,29.2377622378,1287
x71HBCWXy0g,864260,20.8411214953,107
-AS8r_V4Vq8,837805,10.0568990043,1406
p8PxTU5SQNM,835239,16.8989361702,188
4iV7WI0Pm6g,830483,18.1404761905,420
SASjlj5R4U4,824518,11.1912457912,1485
fwFBoxpg5QA,807351,8.6124137931,725
N12QDWhtgqE,799538,11.8125,800
c4rZtKgOckY,786561,8.16788321168,137
B6bx_BIDyQE,780479,11.0589420655,1985
9ec5KeJdg7c,769146,10.1395705521,652
pYNaDcYGaeI,759170,27.3780120482,1992
CV32-WDkplg,752530,21.16,1125
UMTkPvQN6n4,751074,23.6187845304,181
8ExlLmuYK-c,743850,18.2927888792,1151
qbjdX_7nZPg,740073,13.6822558459,727
7Heax6UI9TU,729863,15.6457242583,573
oWK4N5LIUWk,723850,31.2654320988,162
lwvayDniaZo,722831,5.09785932722,327
iUNUfI2oCbs,698186,10.0008888889,1125
sjHSAsE3c88,695732,23.2561826252,1577
URBbjLeXHAM,680162,22.6155015198,658
s1aFrAV3d1o,677756,15.7628205128,156
FA6IgIbcVQY,672561,27.5957446809,752
WlhyPeXcNmA,662323,13.8247078464,599
2AKlMfRUDYI,657588,11.357615894,1963
KY90G9XrKXM,654641,7.11403508772,114
RZBAvBNlnMg,654487,14.0955710956,429
-W06og35NL0,653726,5.0,6
Ky0wT4Jd0Sk,648747,37.6748148148,1350
hdT4A7ZI-Qg,648629,11.0645812311,1982
r-u8oyZAgeY,640337,10.5492063492,315
6gv1ttRh0LA,628891,22.3392,625
1Vlkxw8NWtg,623158,12.1683168317,101
Y6JTz5w2Q68,621862,14.6186440678,118
AZ8eJvpn47s,621328,12.8808290155,579
BWPsPyS-PRk,615805,14.5778834721,841
otfpwiGKVSs,614267,17.8838709677,310
72b9iH3fBes,614069,10.2215088283,623
D-pcLrHt9nI,613393,16.175879397,199
7QRBtFoCLDk,612895,14.6829268293,1025
P3dzFYaUK4s,610855,7.39090909091,110
xzIgta255rs,608102,11.637037037,135
CAlpTMBjClk,603445,13.1982281285,903
oDUj6-AJWxo,595317,33.6842105263,247
JbxKwCvVfac,576483,12.0638297872,47
kDMeEtUCq54,565043,20.4895238095,525
omHBynjncoQ,563563,11.7156862745,306
D46V4n5OtJg,562314,13.6375,400
x2xtMGoHS3c,559428,13.4285714286,7
DavbC78qnSY,548775,19.1935483871,279
J41s7TAOLjI,546662,13.5192307692,364
WafWFHsTqHc,546491,20.0,209
He4K-V502Xg,545203,15.7611940299,134
A1sgzEDUG-o,542206,12.4896988906,1262
GN02i5GHAK4,542161,11.2447257384,237
Ji4LuBupb6E,541595,15.1525773196,485
WcTi23C-MyE,529106,16.1016949153,59
t69k-fclFpA,528376,12.3421052632,38
ddzHzc4Q2sk,526633,10.05,80
HQa-Dac4KHs,525502,6.5641025641,39
bxEoZxVlrQs,523764,8.52380952381,252
2Q2dLrezuWo,514775,10.2636363636,770
ufVRMP2BQ00,511492,13.0048192771,415
09-H_z-kUAU,510985,6.96153846154,26
yfQ2qr1Bl9E,510614,8.75726495726,585
ryZlGqSekcc,504246,13.266509434,424
BBStEQvgcyM,501447,16.2297029703,1515
wa7u0a9pUSs,495360,21.9941262849,681
H4FXAWwlBAk,494844,2.08130081301,123
g7EZgwiOeXA,494590,12.6307692308,650
L8tgFBwebbg,492856,9.84782608696,92
LH6nh0bMNzs,490289,13.8787878788,231
AZ3uXfEpp7k,480821,18.6565217391,1150
