VideoId,View Count,Average Comment Length,Total Comments
FpSbuc6EEFI,4446326,16.5567322239,1983
065E490PGc4,4045688,14.3508860759,1975
rtVbNdMHr60,1605325,9.98461538462,1105
pDk6VUwW7mk,1468247,12.1442441054,1442
aVqG1KnnPsM,1434205,11.7439637827,1988
VzjQyVOuHVw,1315542,10.9844464776,1093
CcY-G1Jows8,1307297,8.83150984683,457
QDO8vCL7-Qs,1202350,14.684263449,1989
k3NU5WZXCKU,1202277,14.5669087137,1928
vqUEy9BNyIs,1192724,15.5330188679,636
op4O0zpEzGI,1141229,17.7685714286,700
vrPgay90rtM,1060526,14.9422348485,1056
OmLlvRtpHrA,957762,23.0312028183,1987
dEKBgFHOwVM,907043,7.86226034309,1982
bYcfcAaVgMc,816268,16.0,1507
UIP78t9Vb48,813271,17.6727175654,1873
iHTNWgtubOk,801569,18.9076923077,650
XOiT-B9w5Kk,757662,9.93110435664,1974
AoBk_elRDnc,680103,11.1628664495,921
RHSrfZrfyWQ,659141,14.9428571429,875
uUjsLHJkBRM,627951,12.95,260
XhujeEi1FPU,617093,16.272851296,1466
KCj56gz4mtQ,584923,26.1002405774,1247
larWIi0I0VA,579527,14.8768821966,1129
UtTluhM3_Yo,576497,11.8929292929,1980
2rwktobtv9s,574385,16.5534591195,318
iT5nEcR33_o,544544,12.8827586207,725
yaMgPHBtWCQ,519659,10.5253731343,1005
ODLGbszzgFo,514645,17.0258467023,1122
sA8waCvKv48,494959,18.7902439024,1025
mRHGKGRlz-Q,484694,15.2574647887,1775
tjfzBfqp1UA,481207,10.742081448,884
x6vuhIvvHUA,479715,15.5451895044,686
6Dwy5qnbrAQ,471536,11.7577235772,1230
j4JOWzYc8Nw,455554,14.3556771546,731
JFapI4PxL9Q,450204,15.04375,800
IirmETYJOw0,432885,10.3032928943,1154
nKA7iTE3s6A,430372,12.9047277937,1396
98TbEzRvnAE,427468,14.5892307692,650
AWap2kF2jKM,383770,13.4462729913,1033
6oIwfPEatMQ,381878,9.52034153692,1991
9YMu6r0nzZE,358853,16.0008591065,1164
QiXL6NWzVXM,358547,22.5165217391,575
NwIZqvfmZi8,357381,11.8433333333,900
aAOzrisckBE,331238,16.781671159,742
VnLVtz4Vq18,318029,18.229480737,597
8923JrBwD2s,317418,10.0558510638,376
-tFdM-ljE9o,316781,13.8980952381,1050
DhOnWUeIxxE,296781,15.0285499624,1331
QRj-9gKM_AY,290162,14.0019569472,1022
qVnKGYER_Wc,289918,19.5298913043,368
cybKtkzG1QI,287114,12.8563157895,1900
LW78tWxjdPA,284631,12.1083521445,886
7yHZ17iHAhk,283146,10.5750853242,586
9NAArDw9LxY,276187,8.91772151899,158
-RS6kwWklR4,273419,14.5338078292,1405
hKUeGBtPUdE,265870,10.9286987522,561
OZCw0YGeTHs,259115,14.9802414929,911
3zvtaAaEunA,254328,19.8472906404,406
KPwWQ6Q3-FM,252278,19.4413793103,290
Lk_vZ_DSry0,251660,12.4341317365,334
18270JPKwj4,249518,10.2459893048,374
RsYi8OPX2X4,248114,15.0715935335,866
F9CPltQ80A0,235861,15.22,850
dMzMzYEuGUU,226128,17.2256637168,678
u-Q0GFTCabU,218181,20.0,424
pSOfs43bC58,212473,19.4738675958,287
8KIoSxloa1o,204967,14.838762215,614
B-UY3hh8D_w,204801,18.8072487644,607
ApJU4XMpOAk,203780,16.9014423077,416
mcrqBkRfjVU,202963,12.0489749431,878
xDy68RaCEZQ,202125,3.16216216216,37
ZPTo_e5Un2M,198538,15.7117241379,725
iirdkPB1i88,198215,15.5266666667,750
lpgydK_U_KU,196657,17.9158986175,868
RwSX8USPcEM,183080,14.0105633803,284
FBAtUZF1yYQ,182997,23.9277108434,996
MxjG9rvBIl8,173981,10.1552680222,541
6Krndrq4Brk,173191,10.5977777778,450
ENZV8K1BxwE,171384,12.4834532374,695
klm2Q7xu_d4,170159,11.9269776876,493
QqWHnd8q134,165455,22.4480286738,558
EB0AawA3kAc,159990,9.88235294118,34
OXsmZaBvf0w,157578,11.7204301075,93
GDgB3uZnopM,153701,17.3523639607,1121
OW_Azt-ZFvI,152000,14.140625,64
SZRuUbQJ7LU,151918,18.8777251185,1055
Cx5pAuslVxY,150860,12.5180487805,1025
eYzI72i0XdM,149327,13.0689655172,261
S34dELBgLA8,148798,10.0151975684,329
dFwS6n9wCYY,148515,21.4392523364,1177
AaEQC28M41Y,144913,11.9482248521,676
