VideoId,View Count,Average Comment Length,Total Comments
Ahg6qcgoay4,20394281,13.6653286503,1993
70xKFih59EI,9087788,15.3437029604,1993
f3IOvFA8LLE,8990661,21.970703125,1536
UjjUayEa1zE,8598919,11.717754173,1977
LwEdMlauxY0,5094691,12.3446014127,1982
SLGJTAfyG44,3893794,17.229757085,1976
xNT-JRyWykM,3745515,11.4269662921,267
Epw1frymbH0,3195687,15.1624713959,874
H-JnyjXyKns,3051942,6.5,2
ddO9idmax0o,2949910,10.1066734075,1978
39hOm0pCg-s,2389825,13.8909090909,1980
MngAUnhDDbg,2383521,5.64705882353,17
tW8KYtvAsrw,2364465,14.9353208691,1979
XOFzaLCcZ2c,2143733,17.1595214357,1003
CWRtOQIaLgo,1983549,13.4280701754,1995
rdzS43Pff1w,1944173,16.3015184382,922
fkqmXP9IVyg,1861246,25.7745571659,621
NtOJXj_k-pk,1724419,25.1931589537,1988
q6Uczlb9sVo,1720531,13.7139784946,1860
ibs8RgE9noY,1659282,15.5180870632,1631
Au7-b77hBCE,1585950,12.4168888889,1125
m4V9Etdg5aI,1541047,15.2488954345,679
FCrVcGw9ZPI,1468824,21.0197693575,1821
InLJmrK8xWw,1439081,14.6162642948,1574
yAuOGLs2xFc,1290762,9.86538461538,104
WDBAG0KPLcs,1250500,19.21125,1600
lO99w92pF80,1228541,14.5108108108,370
RsRmMWWWGOY,1223429,13.6156962025,1975
-VNy5P27qzA,1215658,9.88235294118,850
U9eAiy0IGBI,1203616,12.614530777,1982
aBJQ5085kSo,1186850,19.5194085028,1082
-TK_KyJxcq4,1137327,9.92831903079,1981
DYZy9_0p1Jw,1123946,8.87,100
EOsnxSLfSMQ,1116987,16.7951807229,1992
Ri96w5nocNs,1108204,21.8569570871,769
j3QV9r-bRIE,1100778,13.4858712716,1274
OztdRG8HVrk,1051768,15.6767594108,1222
aPPrKUKkc8Q,1018956,21.6776859504,363
syXEcn60vg8,964687,10.1614906832,161
zCRIA1Spt6E,951536,13.0877862595,1310
a0qMe7Z3EYg,934117,11.2444444444,990
3g-gCMLnke0,931006,17.1000794281,1259
G3pOe2d2rzE,914987,11.2110091743,1199
2AuN1A7KgiY,899503,16.7037037037,675
kBImnc8UQi4,845208,18.1049382716,162
bYsxaMyFV2Y,833935,27.9727443609,1064
y6IrfA1NLHU,806396,17.6590909091,352
XIdECEYQ_bc,792036,10.5364705882,850
iYBqnDqNnVE,781039,10.8746061752,1587
l_elhoCWyI8,776511,13.0990566038,1484
bsvRGLQqeVQ,764842,15.7970795569,1986
bG9DlXVKs2c,735197,13.6159090909,440
LrCOHrQz7no,734177,27.8002270148,881
zmJ69KMKafI,730333,18.9375,16
umyjAQJXsuQ,722323,15.6346666667,1125
hGWjXu1LpoE,688071,16.2727272727,946
UJMhKqNoeyY,677210,11.6111111111,36
kKSyRGzWLhY,660423,39.6431034483,580
sAJKWCdaPq4,650652,33.5167724388,1103
EHTYx-1LLkg,647009,13.0200421941,948
hFl7VwWsQEo,641743,16.4444444444,288
wXgVz4ZqAxo,638781,44.45,20
9Ifnk0CCkKU,628420,10.6340425532,470
MqAsravUn-Y,612844,19.7420382166,942
-N4jOn6e-aE,592874,15.928702011,1094
Y9oV1zq5TRI,579706,5.06666666667,15
37qNBit9dlI,573693,24.6268656716,402
tkOYBiy1nOA,533406,19.3724340176,1023
k-xbcAMfWwM,528794,20.6434343434,990
fv8csAWLntE,528326,10.6304347826,46
Tdrm_v8HhRI,527488,18.6006825939,1172
GU32Q6QXtWQ,525676,19.6858006042,331
deTBZNkDYm4,506547,13.5689881735,761
dMt8IojpQvk,503198,15.5188118812,505
nOGAkRkCWfA,497010,41.8571428571,7
QZz1zih7_xo,492699,26.0684931507,146
hlAvZ7ttyP4,489916,12.7624242424,825
UgbpwehFrPI,488924,22.1336170213,1175
ttMA4Db1fBE,484168,19.9052532833,1066
Mvm6Se6LPv4,456023,20.8816793893,524
KWTyPVj_d7o,446980,25.4033371692,1738
HW-6SlIako0,446822,14.3442622951,61
YUDngJObO9o,442155,13.8203266788,1102
UJxSqJeFn-I,434444,11.5743243243,296
7KIZkd1i5hQ,433051,11.8244444444,900
RLgNhja8gD0,429667,13.0594965675,874
xbnelpoq3Es,425415,14.6425806452,775
B5YKN32xoXw,422660,27.2913385827,254
OR8vwFv-5iU,421174,22.2,80
J0k5qcDjFYs,418544,11.5212464589,353
fsyujdt-7v8,413036,28.9852941176,68
1YAzAu3Ut6c,403316,15.75,672
SeVwUrEuxhI,387010,13.6966666667,300
iJEIwoYHIdA,378977,12.0957854406,522
QvJoc8oEays,378008,13.2511210762,223
dxpdygORZiU,368416,12.7706214689,885
kfsyoAl0U8M,366931,20.9120111732,1432
v_gbvRUKoQw,358340,26.8256227758,281
6Zrnyu68jso,357059,7.50898203593,167
k9I7YH9LHmE,356970,15.478125,640
C0Y3aEXb6qk,356778,17.8547717842,241
CYZg0CfMArI,353144,31.619047619,21
xGxfsPthvOU,351778,11.875,296
m8ueYlViyMU,350946,9.23913043478,414
Aq986GuYOIA,349635,11.2846715328,685
UnSEvjzsOwE,344792,10.4200988468,607
mEBjOFLcTtA,336103,13.40330033,1515
oicI0wAoL0o,335299,8.30769230769,39
pkGTet2BQgM,333447,20.6212121212,66
E7QPZnly-80,328337,23.9017467249,458
KT85b7Dubpg,328331,24.0,292
foq5FPM6ZTU,326832,14.0983050847,295
78tQ8AIgpSA,326183,13.4136597938,776
vYOVeonlGGw,324282,21.546728972,214
A_cvooBeYqA,322100,13.7496012759,627
gUdNZseazsw,310848,13.0819672131,244
BLfPPJSvStI,309150,12.4081632653,196
-uIfoTbaHaY,308304,32.6063348416,442
u-V1ad7D9RY,303240,17.3333333333,27
VTsbe4xiaNk,302471,9.40909090909,22
CaD8FjKpi5w,298579,18.4596273292,483
P9dXRVTB-ZI,298179,13.59375,64
uSHcpLDJEeY,296363,11.3018867925,53
u-5Rl2lfYwM,296172,24.0508474576,708
St1BswwK0rw,293196,16.6022099448,181
gklBWwGyreM,289452,29.4206896552,145
qVgXvel8zlc,288077,33.25,24
