VideoId,View Count,Average Comment Length,Total Comments
EkHTsc9PU2A,203641448,9.94751082251,1848
3VVuMIB2hC0,98690503,7.26740665994,1982
nxKtovhnrqc,82221180,10.9274193548,1984
HIRNdveLnJI,48033425,13.6325581395,1720
vcWTTs8QVRc,45196954,11.2185128983,1977
OjIlocYE_Wc,36216447,9.98958333333,1824
wgrrQwLdME8,35534000,8.48411497731,1983
SO9Lj0T93Xk,35296233,13.8684064409,1801
lt6PVVr4B04,30742327,12.6206030151,1990
2cjv7hEAytU,28673169,18.9007960808,1633
LYMDXK9ZpxQ,27390017,12.7672727273,550
0xyxtzD54rM,24997041,9.39119652821,1613
7ox2Dn4MEl0,23763356,10.0772179628,1826
KJWZSEkCrAM,23380522,12.3174603175,1953
wiG-TgYjHP8,21837131,9.62923621649,1977
pBwi_NNwTvY,20946541,11.5944558522,1948
2oyhlad64-s,20535918,11.2720264317,1816
9IrWyZ0KZuk,19020190,11.8648920141,1991
2TaAceHgyFE,18147106,9.76209677419,1984
x5VdYqd6CdA,16483224,11.9808333333,1200
9AWH0C_cDSk,16477493,12.0,1747
ko8gepM8MBU,16407086,9.94620412267,1989
UAQcNo9yWbM,15965909,13.7748110831,1985
pd8yrQTl_Ow,15260563,13.2933737987,1977
dhgLoanz1b4,15050127,11.517884131,1985
Mf0arR7dCQ4,13774165,13.5463709677,1984
mv-E8gb3d84,13428332,10.3015075377,1990
MPGjZ4gjOR8,12632694,12.3432180121,1821
F1iM9mMiiNI,12222724,12.5929411765,1275
NPNpWv4CdP8,11933237,19.5249873801,1981
yc7srKzSoqw,11547891,9.17760617761,259
2EQMVTTW1Sk,11323238,15.3250883392,1981
j8f8RHWMPyY,11183132,14.3575757576,1650
duTBl5JH7pg,10914721,14.4550477147,1991
fomvApObpkM,10907573,11.9919799499,1995
Jl6jiX8tbL4,10328611,11.6307074762,1993
smE-uIljiGo,9998202,11.7959287532,1965
ZJJrIQsCTcQ,9858599,15.611283323,1613
kkNEmKTuLnA,9533799,8.15967660435,1979
kEUtFmx6ETE,9478530,11.8671698113,1325
6O3NmqzTpFM,9149653,11.129122807,1425
eRqZfts4ClU,8336645,28.7124183007,1989
h_aiawC-9aM,7958193,18.9455370651,1983
TqeGZpHCURo,7945876,14.0719315895,1988
ASgl0NB_-ME,7930663,12.9316109422,1316
cT18LZItBLA,7835083,10.7310587055,1993
xTsvwBkVdKw,7808481,12.3648716658,1987
CiwbabGKwjM,7665436,15.0206841687,1257
mfeNOJNQy0s,7558905,15.331820474,1983
fGeNDnYcQOA,7498067,10.3895907024,1979
FJEQwFakp4k,7341288,15.6334681496,1978
99I7gpswhQ4,7050587,10.9013333333,1875
3wxGZjuqPAc,6980814,11.556969697,1650
-k7p06rNpEg,6933064,10.8531786075,1982
EJl45RzJ4e8,6757109,10.2086956522,1150
Mh0VX74alwk,6726288,10.123517097,1433
z7j1uogI02A,6678256,12.9874421679,1513
3iCYeslMDg0,6605380,9.54905948144,1967
87j37ZB0A_s,6530003,13.2850948509,1845
U18WjNeBGj8,6437651,10.4766893662,1909
8eDmYGXHzdQ,6300330,20.3827848101,1975
Pyp34v6Lmcc,6161456,15.5431164902,1983
Iv7WYMtQWgg,6064397,18.2451851852,1350
RU9wSaR5Qls,6005052,14.9564556962,1975
H9mRL8C9MCM,5925581,11.7685699848,1979
fKFEjZ98Q4s,5891838,13.4630467572,1989
OYfKMIdoJL0,5840241,20.0708446866,1468
VflKiZzb4h4,5765299,16.0430686406,1486
7lL1CW140FQ,5675564,12.4184755174,1981
2GA3a15xF0c,5523083,11.6987341772,1975
j2fNloJAge0,5504597,11.2913741224,1994
-f6kHN2_Gok,5502845,9.50025316456,1975
LoF_a0-7xVQ,5349678,13.9745417515,1964
zEMTBs9FHbc,5316899,11.2789046653,1972
aeGhidMsXZI,5283675,8.47327652982,1291
XGd6LUmTEJo,5280122,13.5367088608,1975
O_pbFaoEGS8,5141125,9.70767613039,951
6TNgA1Jb_C0,5114692,11.7220708447,1835
cr3ekjORS7I,4997410,9.22910521141,1017
zM_MEAijeu0,4936066,21.0929648241,1990
Hhm4USUe3ng,4907403,12.9321518987,1975
HQxHxloG854,4900707,10.8715225089,1977
aqGrgaQsIIE,4880040,10.7774420947,1986
rDdPcYaFH3k,4854062,16.9007444169,1612
Poz_y_OCt5g,4852216,15.3910891089,1414
gczwKhLQiu8,4695436,12.4058116232,1996
pbWP_ngWv94,4634466,9.25531914894,893
XLl7RgkfP-A,4612110,20.2874692875,1221
8O-hCtPfef8,4534186,10.3728470111,1974
XGV8xCkpXjE,4469162,12.2930513595,1986
8JKEXSuLW_E,4347154,10.9068167605,1599
0tzv71rz-zo,4313655,12.2929292929,1980
4iPINFbs9KE,4310270,12.7210473313,1986
3SfSQ3lQmJw,4291489,9.72948500283,1767
myABKIGmYB0,4273846,10.3081481481,675
p73_Qrn5ups,4257706,11.6651851852,675
D-mMUplpts8,4236585,11.5035282258,1984
D79peD6i-rw,4215934,16.1800302572,1983
HjDpKeiYxOU,4185940,15.4577373212,1538
lUkksIV8dC8,4061115,21.2096602972,1884
mbdb7rdcNdI,4009345,11.7038664323,1138
PpbyNSkLrFk,3987588,16.6975,400
