VideoId,View Count,Average Comment Length,Total Comments
-XjaImfQK6U,11841944,15.7614379085,1530
VGV25M2kpfM,9783782,12.9377197388,1991
pWe7wTVbLUU,7222363,28.8975609756,1025
3R8UwuaG2RE,6914714,25.2135135135,1110
6h3G-lMZxjo,6463656,57.5328282828,1980
phKiT2-94XU,5397776,44.6121256392,1369
H322VCaBOP0,5183110,18.0910920986,1987
ghSJsEVf0pU,5179931,31.4139676113,1976
2_i4crqiEzM,4825727,19.2141756549,1947
kUJLn7645Zs,4183976,18.3184810127,1975
J1w4g2vr7B4,4166811,13.3123742455,1988
RBgX8wLM9BA,3811798,30.8862068966,1450
8ipJ0A63JOs,3604060,24.9109762266,1977
63oJfnfaKmA,3551089,31.9764705882,85
dl32Y7wDVDs,3515416,1.0,1
ouKJixL--ms,3420618,39.6966178698,1981
71ikwk7C0DI,3240329,15.7625,1920
QpUC45vugdY,2991529,43.1612903226,1984
khuu-RhOBDU,2890685,26.9889613648,1993
lB_Hl4bcQNc,2854478,28.6616465863,1992
vBNtC9Z8boI,2822246,22.8992405063,1975
uHVEDq6RVXc,2761551,26.5426706827,1992
CqEccgR0q-o,2671784,23.2506265664,1197
C802Z5IIKH4,2570889,17.4085427136,1990
mXu6AKueHWE,2501891,31.8042704626,562
BgJm5Qq1sUY,2489698,33.0564102564,1950
frZRuozQ9is,2366477,19.8982035928,167
PGeu_4Ekx-o,2313725,37.8862786973,1873
MaP9eiWuX3s,2098025,16.2004018081,1991
zrp-v2tHaDo,2040749,28.455,200
7KM1ukwBGv4,1970311,28.5744,1875
PSZtOPQ22cE,1834285,19.8724832215,1043
7UgTlhY8Eqo,1833245,33.5512562814,1990
sawN7uJ8s8s,1822915,39.1296969697,1650
ZZlnnIC82AQ,1797911,13.2419753086,1215
6e9WofmT1jw,1712332,12.2389937107,318
y9dXGJ2rYdA,1670050,42.8912905277,1573
C7SwOT29gbc,1509694,43.8238668962,1743
jx2GY-2s0P0,1503977,24.8592330979,1982
cFRb9o5DRAQ,1488402,29.1945945946,185
uSQnK5FcKas,1477208,40.2554156171,1985
0fd-MVU4vtU,1474761,10.8895522388,670
2A05x9VRHUI,1426301,22.4017391304,1150
eoIxBsO3iQI,1384605,31.8252525253,1980
62CKxwlXb8U,1324906,30.6523582406,1887
vezr3dW4J5s,1303610,18.6630151278,1917
XMdQXdpGVws,1239806,13.6789396171,679
Ri6ySOHoDfk,1175280,23.7436363636,550
W8LVkgWKEEI,1090465,34.0112359551,89
5TjeyzsUmTs,1082421,28.7557427259,1306
hAYe7MT5BxM,1068923,39.0413514876,1983
LXkHlREJ_R4,1050164,14.1111913357,1385
VUbUBTlmAiA,1026513,40.0269413629,1893
6mvFspqtGR4,1020704,43.6604759141,1723
c5laC0_eb9c,1020565,4.32694248234,1982
7XfmJeIJpns,1017074,51.8412698413,1575
rCMsKjUeLNU,1013996,32.8939311099,1829
Gicpy4Bz6mA,985587,23.1250883392,1415
jm9HIy78S0Q,984193,50.0472124561,1991
BqO3qCgyFJ0,983324,31.4583333333,1992
mYxbRY8MVKc,977658,30.4056651492,1977
xipP8rAoiYU,975777,2.40363636364,550
GOuN7xv4wc4,966009,2.23264137437,1397
ewmMuxRzHkY,964821,45.3979591837,588
yS4yf723kmY,960270,38.6376248613,1802
eWZsAHZjkaA,956513,32.7191547376,1467
