VideoId,View Count,Average Comment Length,Total Comments
QOkHc7i-a9I,10457792,21.503033367,1978
47LCLoidJh4,1647608,12.990228013,921
msspXojOufk,1604968,15.1277213353,689
tFxk7glmMbo,1259422,43.9994936709,1975
uijjgU7PB8c,1156659,28.4877777778,900
hk59AaTsXi8,1131164,30.7148760331,484
7xpLD8Zv5L4,1110072,16.2570239334,961
ambvACxi4Ss,1046452,9.65454545455,440
Hovq7Kyz3sE,920958,35.784965035,572
a5hQKFzcvGU,702261,18.2717770035,574
A9ShA1wIP8k,535086,17.8527851459,754
UFWful5v0BQ,507154,15.856272838,821
JgSymvZLpOw,479419,30.2668539326,712
E6NOjefQVTM,454888,15.3172413793,145
kgIegk7ud4Y,374064,17.0819095477,1990
N01RtzpO3qo,322085,12.3117647059,170
msFEj-UBU9Q,319221,44.5398172324,1532
YKipB8wdQpI,317982,16.3870246085,447
okklnog7ebI,312691,24.186440678,118
zE-4DsUf_Uo,274116,14.3819444444,144
j_GK-9O8glU,265937,23.2821715818,1492
ua5MzoUrQS0,262994,8.51355421687,1992
kdRXptTmLqc,245742,9.25585284281,598
l9KvT-ymfN4,245456,21.8233532934,668
UrU5t6ab7Vo,245142,20.9859550562,712
UBMJnr04E1U,239261,8.98182735992,1981
COMt3w4Cwk0,233578,35.1493055556,288
54pRJkJ6B6E,231607,31.0147368421,475
gwpW_8PvEgI,184253,15.756097561,41
Tf5YEx0d_Hk,167457,37.8292390653,1669
Qy_1IOeq-18,159783,15.6071428571,84
nFzHLYpq_xk,159555,22.3304347826,115
ZrqdZNcJLjU,155091,9.48892405063,632
2n5NHt8YWpQ,143817,50.6807407407,1350
3Ec_um8cts0,128393,35.9542857143,700
6TaSf_1dVoQ,118728,7.8803986711,602
P9z7-PXnGqM,115608,38.1433278418,607
VLGIbG7NqFY,111945,12.6746031746,126
CTdtoRM0CyQ,108615,8.82446808511,376
ww4wUvHJUvY,107615,9.00724054706,1243
sQjxPVla_80,106299,39.7568807339,436
RplTOe-nueQ,105224,26.1592517695,1978
