VideoId,View Count,Average Comment Length,Total Comments
SeHXpWkRkxo,61339711,10.0527903469,1989
nhSZs-aAZbo,36781024,1.5,2
vXu1lEa-NuQ,21667034,11.277665996,1988
GpG7NAjw1ms,16257447,24.6192152918,1988
pGmO-jcKENQ,15182280,11.6442647802,1979
yYp2Aloz-uE,11684844,12.9919273461,1982
PP8avO4rlMQ,11471100,9.55544405419,1993
5o0vFWBsMe0,8629440,12.7640388769,1852
6vCNp_AkCbU,8330024,9.9,340
xUWJ8bf09BU,7398716,17.9868487607,1977
xXJ5pk3MI0w,5854854,29.2694394213,1106
-8wOIR9NS3o,5771960,8.72881355932,59
DI3iSxmxSi0,5378543,25.3943452381,672
7lp8WFSL_04,5240801,10.32,125
L5r1LYmx5NM,5117727,10.731513083,879
CQKNDDJvZmI,4419384,14.5807174888,892
pcdOlOnX4Mw,4383162,9.91225416036,1983
xKwmseoKFCo,4123993,20.2315296566,1922
GZUAVBcBZo0,3683213,15.4789272031,261
5huPDklrc-Q,3637496,9.7366276108,1963
e1OJJhQPU3c,3475689,10.6382978723,188
MoPbSCToHR0,3342683,7.86520854527,1966
M37PzM1iUQc,3251210,11.208913649,359
9YgSePQ1cP0,3184975,13.3095768374,449
nL5ooFlUEd0,2902422,38.0324675325,924
ul5vWhLVHP8,2675840,8.68098159509,163
SvIIwY3Yclg,2647826,10.83274381,1979
I1t2R_m-QbA,2497681,9.7850229241,1963
q-Lovt_kmXM,2487460,10.3410462777,1988
WrFRcTkoxI8,2480981,9.51182687469,1987
Y2mUs5txcm0,2464154,12.8624535316,807
VF2Ue9Nzkc4,2317610,12.9979949875,1995
H3KHR6Ktk6M,2249275,13.2751235585,607
7sn40JvmglE,2240072,18.8848167539,764
6dmYzAFwRLw,2203366,11.2854155776,1913
dxzrPHaWda8,2179946,13.5657370518,251
ALkauP_nGNU,2119567,16.0683333333,600
jYTv7f0huSM,2079902,5.28434504792,313
Bk0nUsr7Bk0,2022627,32.9386138614,505
yPEl2RV2CxE,1985220,10.9680851064,1692
