VideoId,View Count,Average Comment Length,Total Comments
7M-jsjLB20Y,23406032,8.90181268882,1986
W8e4Vgu4Uys,16585407,7.81161616162,1980
H4C3dqpUe7s,11637635,8.48202531646,1975
He7Ge7Sogrk,9707309,16.4801806322,1993
P3BfL7X1uU8,8177651,10.2697533971,1987
WfKCcSPCOQo,5567863,14.1334681496,1978
untfJnXUZeg,5136151,9.38849646821,1982
FwHhg0zzsE8,4722616,9.28855721393,1407
l-id0ltrlX4,4390475,8.70202020202,1980
g93MMg_At6c,4011082,6.88861013547,1993
q7CQInAXoqY,3726532,17.3816449348,1994
lIK5Gn5HbnU,3675811,16.2618806876,1978
hmLHdNiWMw0,3618400,15.313222725,1989
odi0XlI-4_g,3172084,39.0107692308,1950
rltkLuDDY98,3069404,20.1491911324,1669
4taIHNiDp1U,2180131,14.1567862715,1282
HSu0DRXdPB0,1943667,8.56495204882,1147
6xh2YpA1JzE,1852994,20.4268585132,834
7vYW_uaVz3k,1731678,9.46596066566,1983
BeGK77yECHE,1715753,15.8861283644,1932
hAYhfDSbWIY,1544609,21.2385964912,1995
QEdcMjcFASA,1442035,20.7022384175,1921
iyvPjn2m240,1377143,14.8519290928,959
ZRQaCvCZeTo,1282204,12.6177980605,1753
MuSzFXe1Irc,1251321,7.25512528474,439
KqTwFZ8J7c0,1203308,14.3382187148,887
cLl23jAK2wo,1161047,9.14285714286,427
4kG1HLiTuEg,1134861,25.9272727273,1925
YOwuZnWckd0,999324,9.71890798787,1978
0_TndvU1WOk,970023,14.8007272727,1375
5d3MFpWIYW4,951377,23.5746268657,134
Kzxvbbj71lg,894790,9.45199063232,427
pFh9x2NZdF8,881415,22.4622823985,517
xZRw0IYdf3g,856101,20.6903153153,1776
tvnICfqeuJA,840107,10.4017379679,1496
vJFo3trMuD8,821751,27.6076266934,1993
QbSZ6AxHeMk,820272,7.2437357631,439
lHnuo17dsBQ,787374,11.7631935047,739
iRsHYEL1mrM,727017,22.6024590164,1464
mpBSTevrJbY,717246,8.98675496689,302
gvqsJbJf6ho,698594,11.2352941176,17
nHzUq2Iw-6E,645500,11.0387596899,129
6R44WD6yVb4,643963,9.5,6
lVvxhphMbAI,643064,15.0991596639,1190
f8HjjoK5KiU,639416,10.0059171598,338
TeQq4PmEozk,631819,6.34763948498,932
uzum7GpHhTQ,586797,10.179558011,362
vmIeNfQ9EUY,574106,9.1,10
VLFvuhW5YLk,554119,7.83333333333,12
Fp_motddvnQ,543762,26.7039586919,581
