VideoId,View Count,Average Comment Length,Total Comments
W1czBcnX1Ww,16560739,11.7108190091,1978
kXeamc7e31c,13025204,11.7154554759,1954
kB_gwYz5Mqs,8715060,13.794858871,1984
91lQK5SCzlQ,8047093,12.5244086563,1987
rrnbbRe4v-0,7028114,6.14886075949,1975
VXJZVZFRFJc,5273872,7.93925702811,1992
IX-gTobCJHs,4672522,15.5745454545,1925
8Wdrkp_qJFA,3916531,15.5364647713,1618
8IycOULjUGg,3167341,10.9884305835,1988
PGeijFsXnZk,3154092,31.7151454363,1994
-KL-yQ2GtsM,2871630,12.8186813187,728
NO547pkndNE,2340456,14.1538461538,91
OELmZ4_H97s,2332075,16.1646234676,571
FkJL4CdI-Wo,2306092,17.5868725869,777
RxBa5bQfTGc,2269810,12.0161046804,1987
7nSB1SdVHqQ,1940712,18.015984016,1001
nyUkNDcD3Lg,1932260,16.9437162683,1297
wFt7gZJPKvk,1889240,20.7358490566,424
dSCLBG9KeX4,1796313,23.3534177215,1975
TYq0A8zsrCk,1765498,10.7876151484,1954
Ni1dV7gDaMo,1696647,12.4128024194,1984
rQcv3ETEQdM,1608719,15.2634803922,1632
ZtbNCTYcWAU,1494191,13.7679474216,1978
Zto6aTZM9t0,1342256,16.632129775,1911
E1o7wHdMlMo,1286840,14.6829268293,410
qLTs6jlbkjE,1198942,6.05249343832,381
LSbmFDAZUsM,1120061,10.7547169811,53
Jb1vq1jtkzs,1093327,2.87136929461,241
XrmrU7P-ysA,1073139,14.3213096559,1802
X_KnC2EIS5w,1044870,15.2773722628,137
HELrxLdP85c,1035262,19.5209914011,1977
Ny15_LC0vfM,1016555,26.8315363881,742
coiaPu371AA,982705,8.17058823529,510
yekLJeXFJt4,979479,17.7386172007,1186
o4_MvskqBYQ,971203,12.6933534743,1986
nLIvZ20jhbQ,946312,14.8207594937,1975
KEuGL7Wc2Ps,939847,12.2711111111,450
1VAhfTdxRRE,930291,12.9002531646,1975
8EwWhaPVTfc,924998,12.2592592593,108
PmSdy_9blB4,900986,16.0564010743,1117
ke9kxb_H-ac,900908,10.3736708861,1975
E2sgh2mzfck,872315,13.7667924528,1325
