VideoId,View Count,Average Comment Length,Total Comments
GxxsP7VWVN8,29405434,11.27702363,1989
7VTjBjejlNE,13799843,8.14314618108,1977
a_HddDpgAbo,9278335,8.79191919192,1980
Hb-K6N1CMeA,7469361,9.04529441369,1987
olZZGiF-joM,6744737,8.86232980333,1983
Vsscl6myXqI,6360687,9.52887995982,1991
dGA_4QKSeSA,6014856,10.0085170341,1996
R6wO9qcNxAE,5088818,12.7246083881,1979
LbbRpN2FNmw,4176487,12.1811339689,1993
vPt3xY9O_EQ,4107445,9.53333333333,1980
hH2yjZAoWRg,4017787,10.4166666667,1992
tcfgvsCScsA,3738878,11.2729113924,1975
cQ7J7UjsRqg,2893823,16.0666666667,1500
Q_OIXfkXEj0,2846323,35.070273003,1978
CbgECF72kLc,2698086,8.72975708502,1976
axxooGIgOKs,2575729,24.6115869018,1985
rNWt0J-MYko,2259426,11.2384810127,1975
TnnZk60MegQ,2134083,7.68040023543,1699
63S3vacxI9c,2084471,10.7904522613,1990
Dz2szNKnsXo,2021358,16.4481012658,1975
VRtVcYAc_CY,1892173,11.0232675771,1977
f3dRlbjgp7o,1839097,11.1211950395,1774
ELuNeOItpPE,1741873,10.1230684327,1812
aotlEpmAFVQ,1610132,23.2940879232,1979
D_5nLxZVoPo,1300051,14.3551967709,1982
ybI34Z_ZHbo,1297208,12.8943661972,1988
5CqpEacxdS0,1240582,16.0763052209,1992
0EKAtO4Anxc,1111542,9.35617128463,1985
n5pkDB7zEeo,1077121,20.9449494949,1980
WrNt-x-5XK0,924609,22.5315497224,1981
wH6-twlgJhU,916808,10.354040404,1980
OGxdgNJ_lZM,883807,14.318561001,1918
lys2MxjzE94,882903,9.931378665,1603
FRnrKzOrp7M,866097,10.197053407,1629
Qu9m-WRNQKg,805970,21.504048583,1976
uKkyzKFC-Bw,734509,10.9714285714,1890
EodNAK7pANw,700279,19.6823664561,1741
7MyA7i8Slqk,670165,11.8544973545,378
nJ4K0hHin9s,634612,20.9414732593,1982
mARTSw8gp7c,617340,12.8423173804,1985
13KelrbkGpI,564847,10.7468770546,1521
vxj1RDbp_iE,556003,14.3619433198,1235
e368QlSDitI,552868,11.0803069054,1955
15wZeEJWKxc,451901,15.1306666667,375
hmmAdbDF1xA,432483,15.2398989899,792
LBrDzZCOQtI,410853,19.2883240667,1259
kqc9eCxccRc,403711,9.62086956522,575
3q_iqrvnC_4,367645,17.4378531073,1416
8qLVndPPYcg,362275,11.6866820631,1299
qOZDFzIaCDY,361803,14.4650537634,372
73Pbs8hKCEc,358969,19.6476923077,1300
tyrdltwjEns,342298,9.13879003559,562
Mvz_xzaMvCQ,338905,19.362627197,1081
wOl9b80CR-E,338630,13.0623742455,497
3Zb6fKHYCwA,333450,9.0912106136,603
dn5f0-y71tE,306973,22.8872305141,603
viVAAy_qkx0,304218,15.8871224165,629
nB1GaEmB5dc,300139,9.89655172414,232
nwRLkDWKhGg,286070,13.6298507463,335
J16wqfkdvZw,268801,9.25266903915,281
IXla7Z4gSD4,257141,19.05,480
8cgdHzD2T1U,246259,9.08740740741,675
zbdahwPBejg,245799,11.380952381,525
Tmvw7N-Nn1U,231185,19.4313186813,728
83_ndpDODes,229628,21.1212121212,66
-IdrivgH1rM,229322,9.50927703135,1563
dXbahOO_4sE,221767,12.1517553794,883
qjKE1axJ0TU,215806,16.4290657439,578
VSmPqg9ktBI,213216,9.57188498403,626
az-eQffKhAE,210727,18.6672131148,610
ww9HGphAYNI,195196,12.9571209801,653
lmE1-Zpqtsg,194029,23.7805383023,483
MVA5cJnSwHs,157414,11.3443328551,697
bX0Nk7O7u90,154394,11.7582236842,608
9ZhDm_2DIyA,145814,14.8076923077,26
fYjrNWp-wWI,140247,7.86746987952,249
Ra78KSttXck,137692,10.60546875,256
sizaFi25M1M,135644,12.255,600
RFvKjIVb6HA,126837,12.9967320261,306
GW0XApwZpt0,126829,15.0070921986,282
VlPgQ8UDDGc,123924,24.9900124844,801
QgvsExArt-g,122115,11.4762931034,464
xSjIz1JYYB4,121407,15.0522875817,153
AJHHmmY1YCs,116839,13.0818181818,440
o8vhLhLXwIs,115487,9.25592417062,211
ii-w2qNaJgs,110259,19.6657142857,350
WpsfPJ9RuYI,108856,17.6519337017,181
zED0SU0cImo,107473,20.7725,400
yQOQ0K5W-Gk,106017,11.6666666667,90
LTObcw6zKTk,100184,9.83139534884,172
9A-DAbLiDUA,86134,11.4964028777,139
HJXogSkC2kg,83948,12.6931818182,88
tiBNcSdqLcU,80562,7.93014705882,272
9-ot7wUVgyo,77779,24.6722689076,357
r9uOQTcDURU,77750,10.5864197531,162
sB4uqdhCm-8,74222,10.5431472081,197
VZoTqvHgROc,70543,9.95348837209,129
Ba87aLwMA-s,70000,10.5833333333,156
ZOIXOXQ8Q6Q,69638,15.3448275862,145
