VideoId,View Count,Average Comment Length,Total Comments
P9LmHXXWiJs,21675164,9.52530364372,1976
KZnUr8lcqjo,11941946,19.2772680938,1962
PMlp6MscdJg,7105472,12.866532865,1993
eYsappbGHNg,6295774,12.5535444947,1989
qf4H3OR-7IE,6038120,12.9808949221,1989
rklgASlt2pc,5813113,18.0288888889,1800
9MBlfjrZKfk,5308600,13.2099447514,1991
Y4oQiiFfYac,5250508,17.5346341463,1025
LVStmLCoH30,4513712,33.8134196586,1699
yAse1QoQaYw,4460919,14.9603015075,1990
jk-kXwjASEE,4439222,21.7277302466,1987
GlLrk0AH7II,4236890,23.1498240322,1989
XuNAYdcgRcc,4151226,13.0488664987,1985
IwM-Rz6h9Ko,4016726,14.6559679037,1994
simzQ3j5yPY,3934945,33.0174193548,1550
8T000p6vtTM,3928884,9.72303797468,1975
p4qbskakU78,3801705,10.7954285714,875
kqeXXHjJq24,3707859,23.716018191,1979
EO3c8EaxsxQ,3657186,15.9282465892,1979
RkGNasSmdbc,3590266,20.670746634,817
8GEB-TYLMmQ,3581100,11.538047138,1485
O40jJXVow2g,3501903,13.6925388082,1997
v0-ndW7xDpc,3325893,17.7074663403,1634
TkMUnfJ6_Qc,2990780,18.0059808612,1672
0LpIv413aM0,2982678,2.43157894737,95
56ww--j17sE,2975536,8.40150753769,1990
liwgfyc1Im4,2969777,12.5544554455,1616
KG_7148EWDk,2747987,22.4645348837,1720
M38HDCGmhm4,2741923,20.7052631579,950
8Ete6ikzkes,2711093,13.1673387097,1984
mB_buOJTh0U,2473216,25.9696969697,594
bRPeEVpHiI8,2454296,18.3147058824,340
vR2XFpaoOxo,2430834,15.485656769,1987
0iGj9uXDJrA,2271200,23.8167592125,1981
_36OpchdG6w,2268256,17.1389830508,295
C3dYHFGxlo8,2202116,3.54189944134,1432
yfGO3pr6rq4,2192302,23.4650455927,1974
m3WuPNddB3c,2151593,19.9167315175,1285
Hbtgt6amNM0,2041835,18.2814930016,1286
vfuJS0SBSac,2013078,19.8966733871,1984
54Z92Qur1fM,2006268,25.5441696113,1981
0nKKqPOiJxI,1961534,11.7271853987,1041
