VideoId,View Count,Average Comment Length,Total Comments
3HeORmOeMyk,10087212,8.94900849858,353
VsAg_yodQtU,6433812,33.3937007874,1905
z42fchrzhHY,4876565,20.9630379747,1975
guvJHKZhUv8,3425249,17.374684821,1983
MgpzUo_kbFY,3353235,16.992,1000
ueJeC2pxxbM,2993218,18.7177461822,1899
qtUNj2BNTsU,2639179,13.0826377295,1198
8GfrfDmXDb0,2104774,11.752866242,1570
CvOLT7fjQ3Q,1649143,18.6217162872,1142
6oldzPajBSM,1206859,15.4236947791,1992
m0aR6cnZOWE,978337,17.8542612204,1983
nNR0a4TMxeA,970659,22.0708898944,663
8HSgcshYf2s,904523,19.3272273106,1201
uygOufNTPJE,771891,15.4391304348,230
0qIK1PVWG60,755688,20.3948692153,1988
p9rlwbsVoyM,740997,9.28947368421,76
pEqMNAVYR7Y,619034,22.5652173913,46
Y_aJOuBwc2A,535662,12.4545454545,11
lmIJox-srfc,484919,14.555,400
M2GtOrwMqi8,429692,14.5,46
MsgB8tY_-QU,421450,19.6363636364,22
7oMmGl0-JyI,362460,21.184,125
IKwXu-Kr7kw,359935,22.5639097744,399
Qep4uYgAyhQ,282203,5.66037735849,53
CauDw2T7t7M,275106,23.7139534884,430
om_Qh12u1Ho,274412,22.1654320988,405
qXrbDJHkpjE,264766,21.8712737127,738
Lj6TEq--26s,260755,13.2540983607,122
50fy4VE7oZM,258797,13.05,40
Fi76qfM8REg,248791,38.0761904762,105
oAS3Tcli53U,248448,18.9744572158,783
hr33OEnqn14,248414,12.1022727273,88
oVh_eZkiTAI,233356,31.2122905028,358
VDx8arFzCn0,223721,23.0967741935,124
maUmumEYA4c,214429,13.4,95
wpT6nMfrBMQ,210522,18.8281141267,1437
cLVss7kmNSw,203827,13.4444444444,36
B-lglzKMqe4,202198,40.3703703704,162
Xadaf0RvBJ8,192603,15.6363636364,264
fHrqrZT0Gjo,184614,29.217,1000
9UvhVkHHbsI,180542,31.1640625,128
-bw8MdEaWPU,180167,25.873015873,252
IrYHlAk_hrY,179282,15.9444444444,18
oyMn99_nD2o,166012,41.4215530903,1262
7SO2i8fRqo4,163345,16.8720930233,86
gRVOuichlvg,155016,12.4,30
UT9xIkZ2zI4,152661,14.3246187364,459
tU5UjjnGDaE,149129,15.2666666667,15
VNdWQuNtJ8Y,149102,14.437751004,249
qJXD3BL3nGY,147817,18.8114754098,122
7GLRXt1dilU,144989,23.75,12
Dl4km0v-P60,139704,9.98104265403,211
7J8Qa9psS38,136920,21.2702702703,37
detET81JxVU,135388,16.8129496403,139
Lmb3Mw7vNCU,134885,21.9365079365,63
9bnRyzyfLb8,134320,16.5,194
GdPjrPTd8tY,132826,20.301369863,73
yCvtEjML6QU,128979,16.3768115942,69
cLd270WzUaE,128935,21.7909090909,110
sAYK4Pl0PwU,126975,8.375,8
moytOpK0Wkk,125536,23.2358078603,229
nWflRXNmH4E,123889,13.7281553398,103
gsF1Q9O1ZTc,122623,8.25,20
MbjZZc5Abx0,121250,38.2804878049,246
Mgsj8wMAD-0,120549,10.3846153846,13
vgPXRMDAq2M,120398,11.1408450704,71
69wOCY-u-W0,120106,6.71428571429,7
jzSPW38IbNM,119071,21.9117647059,68
U4BVjNnVlJ8,117360,18.4838709677,93
RWTBvjq2C7Q,117243,23.8875502008,249
VzzucPNfxWI,116898,15.575203252,984
RxwDbTA8A2s,116544,3.7397260274,73
yvLrr7bJtHc,109676,17.7619047619,42
HqswnNjbKzY,109140,11.64,25
M9YxRTuGngk,109019,17.2056074766,107
Z9ZCxZl5HBU,107373,19.4491017964,167
fqg7fyO8eHU,104374,9.25925925926,27
zu2P81qk8v8,103442,8.88888888889,27
9c5MkVneGrI,99995,19.6288659794,97
AGvV-zO-DkQ,99419,24.4583333333,72
sQmUe-WMJwA,98467,4.57142857143,7
YXaSKwK7SQ4,97310,39.7553191489,94
38XmVuF8RF4,96232,12.809352518,278
MmzIKDK6zVs,91789,22.1698113208,53
vyy2K96LYvU,91394,22.3333333333,57
76LcG6Hq2B8,89138,14.7173913043,46
3o6izWV7RFo,88135,15.2422360248,161
213RUxb9jX0,87944,14.0869565217,23
_1DnyIs6HHA,84458,7.76086956522,46
ltkNlM6ofrE,84030,14.3383742911,529
u4YBfbW6-kg,83671,14.1111111111,9
1X2pNt7l9uI,83448,6.84375,32
uL-3whzepCs,82636,17.3194444444,72
7V1FC8B2Hxw,82186,36.6846846847,111
BJKu1WXzTGE,81703,23.5322580645,124
5CT-cSpTjBU,81230,31.2452830189,106
-qjcFmV7YoA,80640,16.6666666667,21
PMD4KbDQyG4,79925,40.0707070707,99
LyiV9ujNp2c,79351,18.6777777778,90
wu_aRhsBZmk,79329,15.9361702128,47
zvLIo2U7kvc,79255,6.90243902439,41
pCqLf_u4eHM,78510,18.5107296137,233
-LIT3Pn4H3c,75328,17.2,15
ELzg7_MKJh0,73619,20.1034482759,29
FIfdkTeWQzU,71421,17.1428571429,7
fXnjHzesHcQ,70781,16.5283018868,106
XQ0Xh9WXSTo,70162,19.4871794872,39
VilaZLFBlso,69315,10.6,30
4yyxIUNOlrI,68355,12.6875,16
vx5FGpwHd5A,67544,13.9642857143,84
RyfmyN1vDmw,66194,27.7058823529,17
gvI7D4tpZis,65860,19.9818181818,55
5DtF1ZAkpDQ,65804,14.546875,64
mFXALoegMR8,65753,27.0526315789,114
LhDfxbgsLPU,64379,14.2115384615,52
qYm-SwQrl8E,61374,21.7407407407,54
h8VOqHaYY-k,61317,8.72727272727,11
imSErvxdP8Y,61091,8.0,32
-tC8nIr-DDI,60623,23.7865168539,89
m09vkAIJBXQ,60386,20.8235294118,51
ZsbewCa6tek,59175,28.65625,64
3onQkSIrwFU,58653,8.2,10
vKc713rE-Yg,58177,21.6,50
Kjt8ELxmVtI,57713,29.45,180
b5jw9pbMUeA,57489,19.4512820513,195
TyI0wbTQcao,57128,12.3571428571,84
s3Zm2v4lnj8,55778,18.0555555556,18
sP_uWCSdx98,55015,23.625,48
6YqOjIm1rNQ,52942,38.71875,32
xnqjVjo3lio,52729,54.0,2
h9ETsTM4iaI,52722,10.8260869565,23
GTovOHdmbmE,52675,12.975,40
x5bX6k2Zseo,52432,10.6666666667,6
50UKmHflXfg,51586,14.9553903346,269
gjPbCctKQpo,51245,14.7163461538,416
JawFu6n3HSw,51221,11.8432055749,287
SDmErNfkY54,50763,22.6571428571,35
XQZSmls01UY,50721,10.8920454545,176
-5A0OeX9pwI,50100,12.8857142857,35
FAE-Anmn-OU,49221,19.4375,16
PzEhWszaz9k,48481,18.6666666667,39
qB_UAgq6beo,47464,6.0,1
OQzSzVNVszg,47341,10.76,25
Wt4F_TQWUmU,47062,24.6666666667,18
k_N4l61lfgA,46884,27.2424242424,33
TPg0sZPl28s,46859,28.7605633803,71
f00QXovqlwc,46485,32.049382716,81
WYK0XrC1AMg,46094,16.0714285714,14
lODEMDOz3x8,45762,13.3703703704,27
sH8MCqE38GM,45073,17.8,10
oz1HpxwZdd4,44856,13.9641577061,279
hhdyCP-qGEc,43994,11.7692307692,13
SnbAFH806as,43737,30.3913043478,69
Xoo0enFum2c,43555,32.5896273917,1986
yPV_MZNHsJo,43523,26.8356164384,73
U94DnNioNkM,43300,7.92470588235,425
m6in0UTtca4,43263,14.0416666667,24
kxg2_O6D0vw,43247,30.44,25
B7SDR5Lmyo0,42924,13.3333333333,12
lj0UGs-0y6I,42330,10.5722543353,173
5ri2c1yT6Zo,41307,13.4,5
yhyxvFf6tQQ,41214,22.8,5
DSwpUkDWQm4,40365,19.4379562044,137
PaQRlaSdwzE,40105,7.66666666667,6
62mhpToZy2g,40019,9.98275862069,116
faC5zfwlN-s,39756,54.4473684211,38
RcY8fr-JuOo,39640,13.7272727273,22
p_SkNbtMyiI,39552,19.696969697,198
RNZa9V9aPyg,39091,21.237704918,122
1icKhmxApag,39060,29.2,5
NvALgPN5JBw,38818,21.5901639344,61
wCbDQHTKDHs,38666,23.7692307692,39
FrGrrAIplys,38570,12.6,70
ROU-ddSq80w,38513,17.1034482759,29
BE1pzFgXk9o,38493,15.7037037037,27
3OniuBwv6uA,37919,15.9074074074,54
DZmZmIfEPHQ,37617,28.4076433121,314
Pne2G_h9tL4,37048,17.8926553672,177
-YSpwRkq-JY,36793,10.8536585366,41
XxEdo2xKKXA,36379,18.8538461538,130
HkH5SzO13DY,36309,15.2307692308,13
eJr-fOD0zf4,36303,10.6315789474,19
HxdsazczA1Y,36234,8.77272727273,22
P8_t8jZWBps,36189,16.7666666667,30
1pGqtWhcLMc,36094,22.2857142857,56
nMqqtEalv7I,35799,10.4666666667,30
nwIGlSIz8Gc,35775,18.4,15
Xc5U8DVRSv4,35593,10.5583756345,197
oSVDncKyH4w,35516,21.7317073171,41
MG6PaAXpqmc,35445,7.75,16
53Rvkd9VrEE,35075,16.1,20
m-LZDZjr9o4,35000,18.0,29
Oq8__P3ReaY,34518,32.125,8
g43yCD87poI,34059,10.5714285714,7
jbNdpq0C5Fs,33671,13.0,11
A7Q30_9ZbYI,33601,14.3170731707,41
Sp7FvV7qQtM,33439,8.58139534884,129
HItmA_jPBy8,33182,15.1111111111,9
sbOMxGyX_Qg,32933,23.4444444444,9
gisIjeQJ2oA,32853,20.5555555556,36
